診療年月：H30年04月～H31年03月　外用薬 外来（院外）　※集計結果が1000未満の場合は「‐」で表示（1000未満の箇所が1箇所の場合は1000以上の最小値を全て「‐」で表示）※集計対象期間内に名称や点数・金額等に変更がある場合、集計対象期間当初の情報で表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"薬効
分類",薬効分類名称,"医薬品
コード",医薬品名,単位,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計,男,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,
112,催眠鎮静剤，抗不安剤,661120003,ルピアール坐剤１００　１００ｍｇ,個,1125700J5020,65.1,0,4524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,催眠鎮静剤，抗不安剤,661120004,ルピアール坐剤２５　２５ｍｇ,個,1125700J2021,38,0,3034,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,620002621,アンヒバ坐剤小児用１００ｍｇ,個,1141700J2130,19.3,0,8230069.35,4229087.35,58703,3627,-,-,-,-,-,-,-,-,-,-,-,-,1568,2441,2089,2514,-,-,3829295,50298.5,1851,-,-,-,-,-,-,-,-,-,-,-,1456,2793,6305,9234.5,9690,6671,1857
114,解熱鎮痛消炎剤,661140081,ボルタレンサポ５０ｍｇ,個,1147700J3084,48.8,0,6941626,-,-,1304,10114,19611,39250,69843,117464,174408,237000,253924,275915,286291,358224,363347,369929,315260,177175,48252,5678,-,-,-,1137,7019,13647.5,23299,44024,70094,131709,192335,208253,243596,266528,391165.5,482968,621756,578427,405322,116897,19256,1089
114,解熱鎮痛消炎剤,661140080,ボルタレンサポ２５ｍｇ,個,1147700J2061,42.3,0,6401996,-,-,3279,4252,5032,7832,12615,18798,26839,38195,44406,60236,80915,119959,159510,220389,268335.5,226525,98774,16803.5,1610,-,-,3655,8611.5,10939,17279,25213,43803,69686,91621,96460,127308,173045.5,306648,488724.5,809221.5,1102027.5,1010229.5,471678,116453,13507
114,解熱鎮痛消炎剤,620002622,アンヒバ坐剤小児用２００ｍｇ,個,1141700J3110,26.2,0,4044551.055,1385641.05,531216.8,29221,6565,4395,3462,3434,2926,3842,2717,3146,3049,4304,8972,15884,22868,33871.5,40075,30410,8564,1456,993753.705,415167,19865,6025.5,4793,4452,5470,3846,3758,6775,4595,5373,6273,15621,22360,39533,71216,106639,98296,53005,11715.5
114,解熱鎮痛消炎剤,660454001,アルピニー坐剤１００　１００ｍｇ,個,1141700J2092,19.3,0,3011855.35,1548562.6,30197.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1045,-,-,-,-,1386645.5,26083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1944,3518,2584,2060,-
114,解熱鎮痛消炎剤,621362323,ジクロフェナクＮａ坐剤５０ｍｇ「日新」,個,1147700J3270,19.9,1,1385127,-,-,-,2589,5150,10203,18315,29239,43617,54204,56105,60250,62810,84707,77758,75241,55093,35042,9309,1077,-,-,-,-,1502,2888,5363,6962,16110,21550,37220,38362,48497,58109,74879,88290,109530,110196,61410,20207,2828,-
114,解熱鎮痛消炎剤,621362353,ジクロフェナクナトリウム坐剤５０ｍｇ「日医工」,個,1147700J3254,19.9,1,1376131,-,-,-,2186,6465,12576,21905,33132,51142,68581,67979,70595,69678,84728,81415,71049,50084,30430,7862,1256,-,-,-,-,1826,5197,6732,10894,18775,30626,39535,40349,50184,51648,69140,78963,88663,87314,46251,15410,2689,-
114,解熱鎮痛消炎剤,621939701,ジクロフェナクナトリウム坐剤５０ｍｇ「ＪＧ」,個,1147700J3238,19.9,1,1303548,-,-,-,3265,6226,13406,22429,34897,49687,65458,68058,65134,66103,83339,77563,71757,44985,26627,5298,1708,-,-,-,-,2161,4674,6942,10497,16458,27546,37579,46144,48793,51734,67371,73988,83026,65771,37567,14262,2180,-
114,解熱鎮痛消炎剤,661140201,アデフロニックズポ５０　５０ｍｇ,個,1147700J3033,19.9,1,1241598,-,-,-,2408,5131,11821,17925,29079,44607,56677,53878,56545,62772,79092,69147,66152,48610,28258,7689,-,-,-,-,-,1443,3084,5872,8437,14103,26112,35536,41209,40911,50186,69044,75435,83486,80277,48909,13682,3101,-
114,解熱鎮痛消炎剤,621362236,ジクロフェナクナトリウム坐剤２５ｍｇ「日医工」,個,1147700J2231,19.9,1,1180794.5,-,-,-,1115,1462,2338,3516,4933,6076,8879,10673,13450,19463,30469,38662,48760,48802,40961,14813,2207,-,-,-,-,1948.5,2934,3992,6469,10167,13924,17478,21198,24670,33367,61939,98967,151969,182081,160709,72549,15890,2499
114,解熱鎮痛消炎剤,622060902,アセトアミノフェン坐剤小児用２００ｍｇ「ＪＧ」,個,1141700J3153,19.9,1,1177743.51,464782.86,150644,5573,1331,-,-,-,-,-,-,-,-,-,1591,2477,3578,4685,5447,3748,-,-,337831.65,121214,4137.5,-,-,-,-,-,-,-,-,-,1144,4715,2869,5986,9728,12558,12089,6069,1043
114,解熱鎮痛消炎剤,661140091,アルピニー坐剤２００　２００ｍｇ,個,1141700J3021,25.8,0,1174812.11,401999.95,162666.51,9273.5,1955,2260,1173,1256,-,-,-,-,2432,1255,3318,4809,6028,9445,12239,6218,1886,-,282307.65,128300.5,6195,1606,1003,1144,1449,1700,1219,1489,-,1864,2712,2945,6025,11298,20932,29305,25146,11796,3604
114,解熱鎮痛消炎剤,621362217,ジクロフェナクＮａ坐剤２５ｍｇ「日新」,個,1147700J2258,19.9,1,1130555,-,-,-,-,1066,1609,4045,3381,5005,7656,7507,10542,13671,26516,33536,43163.5,45810,38148,20097,3186,-,-,-,-,1928,2885,3153,4602,7287,12604,12149,16042,21981,29612.5,55929,79879,133539,203929,174078,83466,18698,1314
114,解熱鎮痛消炎剤,621939601,ジクロフェナクナトリウム坐剤２５ｍｇ「ＪＧ」,個,1147700J2207,19.9,1,1094392.5,-,-,-,-,1027,1817,2945,4244,8591,9203,11008,13012,18026,28928,36475.5,43538,51745,43295,15043,2562,-,-,-,-,2727,2977,3832,6411,8074,13757,18790,18625,25776,33187,54966,79798,133846,173019.5,141403,67462,14183,1079
114,解熱鎮痛消炎剤,661140193,アデフロニックズポ２５　２５ｍｇ,個,1147700J2029,19.9,1,964989,-,-,-,-,1525,1463,2588,3648,4923,6632,8322,9004,12057,22934,32855,35705,40516,34200,13224,3091,-,-,-,-,1611,2815,3190,3915,5533,9436,14714,18624,20357,26405,56622,72376,122407,156036,145799,56806,11791,1636
114,解熱鎮痛消炎剤,622060802,アセトアミノフェン坐剤小児用１００ｍｇ「ＪＧ」,個,1141700J2181,19.3,0,954703.75,490557,3673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,455199.75,2956,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,661140180,カロナール坐剤１００　１００ｍｇ,個,1141700J2050,19.3,0,949953.75,484620.75,7671.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440716.5,6586,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1333,1437,1588,-,-
114,解熱鎮痛消炎剤,661140207,ボンフェナック坐剤５０　５０ｍｇ,個,1147700J3106,19.9,1,850430,-,-,-,1802,3107,5397,10601,16533,27256,29262,34905,37823,46057,52058,47655,45005,35899,16023,5384,-,-,-,-,-,-,2256,4084,5687,10854,15011,23303,27792,30933,34541,56581,57047,60974,62786,30253,10299,1042,-
114,解熱鎮痛消炎剤,661140198,ボンフェナック坐剤２５　２５ｍｇ,個,1147700J2088,19.9,1,786908,-,-,-,-,-,-,1508,2073,3889,4898,6757,8362,10389,17723,22529,30246,33207,27286,10556,3973,-,-,-,-,1062,1620,2195,3510,4828,6958,10157,11355,13860,23160,41663,57993,99447,135651,120347,55034,9811,1603
114,解熱鎮痛消炎剤,620002620,アンヒバ坐剤小児用５０ｍｇ,個,1141700J1045,19.3,0,631207,295333,1219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,331887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,661140181,カロナール坐剤２００　２００ｍｇ,個,1141700J3048,26.5,0,561323.25,169757.25,71103,3892,1214,-,-,1020,1208,-,1248,-,1536,1882,3140,2982,5398,6867,8241,4552,1295,-,122554,53696,3018,-,1012,-,-,-,-,1894,1296,1861,2618,4253,5573,8789,13444,17921,20156,8535,1648
114,解熱鎮痛消炎剤,621557001,アセトアミノフェン坐剤小児用２００ｍｇ「ＴＹＫ」,個,1141700J3137,19.9,1,511984.816,198338.15,65384,2733,-,-,-,-,-,-,-,-,-,-,-,1498,1611,1768,1875,1352,-,-,148518.666,52409,2086,-,-,-,-,-,-,-,-,-,-,2365,1318,4220,4484,5998,5134,1757,-
114,解熱鎮痛消炎剤,622057601,ノルスパンテープ５ｍｇ,枚,1149704S1020,1567.6,0,503323,-,-,-,-,-,-,-,1480,2646,4343,6176,7238,8662,14914,19797,27849,28539,24076,11749,2450,-,-,-,-,-,-,-,1108,2114,4372,5635,6889,8964,9967,18762,28777,54829,72396,74471,40995,10419,1122
114,解熱鎮痛消炎剤,621362359,ジクロフェナクナトリウム坐剤５０ｍｇ「ＣＨ」,個,1147700J3262,19.9,1,468780,-,-,-,1209,1682,3765,6181,9613,14337,22545,20263,19139,21954,29213,27301,22792,19436,11324,2016,-,-,-,-,-,-,1298,2054,3799.5,5104,7584,12323,13976,16178,18431,26511,30989,37678,32291,18792,6974,1226,-
114,解熱鎮痛消炎剤,661140079,ボルタレンサポ１２．５ｍｇ,個,1147700J1057,37,0,458946,-,1968,-,-,-,-,-,-,-,-,-,-,2211,4620,6085,12279,12743,17304,12168,3503,-,-,1222,-,-,-,-,-,1396,2054,4481,3172,6566,6527,11701,20815,38511,75146,105240.5,70994,24394,4430
114,解熱鎮痛消炎剤,661140092,アルピニー坐剤５０　５０ｍｇ,個,1141700J1029,19.3,0,453046.75,210999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239931.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,661140242,インテバン坐剤５０　５０ｍｇ,個,1145700J3012,19.3,0,394968,-,-,-,-,1008,1324,2319,3759,4752,6546,10037,13396,14895,15200,18177,15701,14712,7615,3250,-,-,-,-,-,-,-,-,1696,2753,7566,10321,12856,18273,24323,35159,34498,42096,30768,24443,11991,2243,-
114,解熱鎮痛消炎剤,621556901,アセトアミノフェン坐剤小児用１００ｍｇ「ＴＹＫ」,個,1141700J2165,19.3,0,356949.5,183055.5,1486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170222,1120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,621362241,ジクロフェナクナトリウム坐剤２５ｍｇ「ＣＨ」,個,1147700J2223,19.9,1,345234.5,-,-,-,-,-,-,-,-,1493,2755,2534,3499,4648,7929,7885,13752,15569,12535,3831.5,1076,-,-,-,-,-,-,-,1648,2666,2460,4433,4721,8062,10624,14558,27697,44255,66270,47775,20879,6493,-
114,解熱鎮痛消炎剤,620072501,アセトアミノフェン坐剤小児用２００ｍｇ「日新」,個,1141700J3161,19.9,1,297029.25,110140,37535.5,1603,-,-,-,-,-,-,-,-,-,-,-,1181,1289,1820,2675,1516,-,-,78857.75,29779,1248,-,-,-,-,-,-,-,-,-,-,-,-,2591,2852,5114,5868,2001,-
114,解熱鎮痛消炎剤,660453032,パラセタ坐剤１００　１００ｍｇ,個,1141700J2084,19.3,0,286408.6,145066.5,1147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138235.1,1227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,660453033,パラセタ坐剤２００　２００ｍｇ,個,1141700J3072,19.9,1,262110.6,101682.1,38146,1220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73454.5,31048,1117,-,-,-,-,-,-,-,-,-,-,-,-,-,1797,1979,1793,-,-
114,解熱鎮痛消炎剤,661140216,インテバン坐剤２５　２５ｍｇ,個,1145700J2016,19.3,0,241390,-,-,-,-,-,-,-,-,1353,5163,2035,2081,4254,4890,5021,7352,7946,4513,3301,-,-,-,-,-,-,-,-,-,1462,3131,4214,6692,9399,9658,19581,19225,27210,33737,29752,18187,5232,-
114,解熱鎮痛消炎剤,622057701,ノルスパンテープ１０ｍｇ,枚,1149704S2027,2415.2,0,234973,-,-,-,-,-,-,-,-,1918,2930,4634,5021,5428,8607,10809,13716,13932,9702,4440,-,-,-,-,-,-,-,-,-,1187,2848,3917,5223,4955,5095,8419,13023,22293,31645,30326,16414,4494,-
114,解熱鎮痛消炎剤,620072001,アセトアミノフェン坐剤小児用１００ｍｇ「日新」,個,1141700J2190,19.3,0,219506,112861.5,1220,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103068.5,1164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,661140188,レペタン坐剤０．２ｍｇ,個,1149703J1020,158.7,0,194598,-,-,-,-,-,1233,1416,1145,2461,8285,13388,8626,7312,10351,9122,7862,8460,3001,1860,-,-,-,-,-,-,-,2283,-,3139,7164,6810,13571,13966,16082,9406,10827,7532,8581,5604,1328,1909,-
114,解熱鎮痛消炎剤,661140189,レペタン坐剤０．４ｍｇ,個,1149703J2027,206.6,0,107027,-,-,-,-,-,-,-,-,2402,9127,9558,7141,4190,5664,7508,4854,3467,2161,-,-,-,-,-,-,-,-,-,-,1144,3244,8948,4320,7890,8851,3665,1194,3595,3062,1797,-,-,-
114,解熱鎮痛消炎剤,622440201,カロナール坐剤４００　４００ｍｇ,個,1141700J4028,41.4,0,89285,-,-,-,-,-,-,-,-,-,-,-,1254,1373,2881,3937,5220,7514,5576,5551,-,-,-,-,-,-,-,-,-,-,-,1368,-,1321,1409,2929,3586,5238,8551,10408,7893,3978,-
114,解熱鎮痛消炎剤,620114703,ケトプロフェン坐剤５０ｍｇ「ＪＧ」,個,1149700J1108,19.9,1,77504,-,-,-,-,-,-,-,-,-,-,-,-,-,2082,1657,1889,3486,2430,1148,-,-,-,-,-,-,-,-,-,-,-,-,-,1293,2658,4151,2944,9740,18603,14299,6422,-,-
114,解熱鎮痛消炎剤,620078654,インドメタシン坐剤５０ｍｇ「ＪＧ」,個,1145700J3012,19.3,0,68725,-,-,-,-,-,-,-,-,1048,1131,1210,1725,3228,2095,3090,4257,2784,1735,1189,-,-,-,-,-,-,-,-,-,-,1309,2539,1260,1727,2466,5433,4771,7486,6529,5524,2898,-,-
114,解熱鎮痛消炎剤,620115303,ケトプロフェン坐剤７５ｍｇ「ＪＧ」,個,1149700J2104,23.1,1,66999,-,-,-,-,-,-,-,-,-,1106,1433,1238,1465,3514,2633,2585,3247,3494,-,-,-,-,-,-,-,-,-,-,-,-,-,1291,1071,1728,3003,6215,7895,9821,7037,2460,-,-
114,解熱鎮痛消炎剤,620078653,インドメタシン坐剤５０「ＮＰ」　５０ｍｇ,個,1145700J3012,19.3,0,62874,-,-,-,-,-,-,-,1125,1072,2005,2139,1128,2034,1750,2948,2951,4414,1308,-,-,-,-,-,-,-,-,-,-,-,-,1140,1680,2771,1670,2419,4409,5710,6453,5236,4746,-,-
114,解熱鎮痛消炎剤,621362116,ジクロフェナクナトリウム坐剤１２．５ｍｇ「日医工」,個,1147700J1170,19.3,1,60092,-,-,-,-,-,-,-,-,-,-,-,-,1255,-,-,1397,1743,1779,1198,-,-,-,-,-,-,-,1659,-,-,-,-,-,-,-,1129,2293,6309,11059,10484,11770,1963,-
114,解熱鎮痛消炎剤,622057801,ノルスパンテープ２０ｍｇ,枚,1149704S3023,3721.6,0,54274,-,-,-,-,-,-,-,-,-,1197,1658,2172,1850,2072,3165,3967,2394,2204,-,-,-,-,-,-,-,-,-,-,-,1207,1231,1493,1608,1328,2387,3111,4655,5120,5132,2815,-,-
114,解熱鎮痛消炎剤,661140190,アデフロニックズポ１２．５　１２．５ｍｇ,個,1147700J1022,19.3,1,47621,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1891,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2047,2841,2855,6965,11256,8772,2594,1570
114,解熱鎮痛消炎剤,620078542,インドメタシン坐剤２５ｍｇ「ＪＧ」,個,1145700J2016,19.3,0,43308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1452,1133,1900,1249,1178,-,-,-,-,-,-,-,-,-,-,1225,-,-,-,-,2620,3266,4211,7356,7242,3762,1183,-
114,解熱鎮痛消炎剤,621939501,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＪＧ」,個,1147700J1146,19.3,1,40832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1183,1203,1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2413,4263,6219,7519,6713,2237,-
114,解熱鎮痛消炎剤,621362109,ジクロフェナクＮａ坐剤１２．５ｍｇ「日新」,個,1147700J1197,19.3,1,37079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1508,1446,1481,-,-,-,-,-,-,-,-,-,-,-,-,-,1059,-,-,1618,3422,6383,6420,6253,2358,-
114,解熱鎮痛消炎剤,661140274,ボンフェナック坐剤１２．５　１２．５ｍｇ,個,1147700J1090,19.3,1,34873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1757,2076,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1336,-,1946,5377,9280,5669,2150,-
114,解熱鎮痛消炎剤,620115203,ケトプロフェン坐剤７５ｍｇ「日新」,個,1149700J2112,23.1,1,34778,-,-,-,-,-,-,-,-,-,-,-,-,-,1384,1488,1596,1344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1138,3695,4364,4674,3640,2581,-,-
114,解熱鎮痛消炎剤,620115601,フェルデン坐剤２０ｍｇ,個,1149701J1145,64.3,0,32463,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1086,1998,1294,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1245,1781,1981,5197,4698,4735,1934,-,-
114,解熱鎮痛消炎剤,622054402,アセトアミノフェン坐剤小児用５０ｍｇ「ＪＧ」,個,1141700J1118,19.3,0,31326,13906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17364,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,解熱鎮痛消炎剤,621391601,レクトス注腸軟膏５０ｍｇ,筒,1147700J5036,95.7,1,28887,-,-,-,-,-,-,-,-,-,-,-,1236,1399,1431,1504,1565,1517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1058,1088,1861,2122,2974,2415,1643,-,-,-
114,解熱鎮痛消炎剤,620078541,インドメタシン坐剤２５「ＮＰ」　２５ｍｇ,個,1145700J2016,19.3,0,28717,-,-,-,-,-,-,-,-,-,-,-,-,-,1290,1054,-,1752,1173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1475,4458,4594,6797,2361,1173,-
114,解熱鎮痛消炎剤,620114603,ケトプロフェン坐剤５０ｍｇ「日新」,個,1149700J1116,19.9,1,21510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1467,1416,1890,4319,2982,-,1550,-
114,解熱鎮痛消炎剤,620115402,ケトプロフェン坐剤７５ｍｇ「ＳＮ」,個,1149700J2120,23.1,1,20196,-,-,-,-,-,-,-,-,-,-,1339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1057,-,-,-,1122,2004,2733,1418,-,-,-
114,解熱鎮痛消炎剤,621362808,ピロキシカム坐剤２０ｍｇ「ＪＧ」,個,1149701J1161,20,1,18153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1133,1875,3233,1976,1527,-,-
114,解熱鎮痛消炎剤,621362225,ジクロフェナクＮａ坐剤２５ｍｇ「ツルハラ」,個,1147700J2240,19.9,1,16494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1722,2486,3773,1213,-,-
114,解熱鎮痛消炎剤,620005282,バキソ坐剤２０ｍｇ,個,1149701J1102,64.4,0,13743,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1111,-,1966,3152,2090,-,-,-
114,解熱鎮痛消炎剤,621391501,レクトス注腸軟膏２５ｍｇ,筒,1147700J4030,94.2,1,13489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2387,-,1863,1592,-,-,-
114,解熱鎮痛消炎剤,621362118,ジクロフェナクナトリウム坐剤１２．５ｍｇ「ＣＨ」,個,1147700J1162,19.3,1,12178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2228,1335,2252,2219,-,-
114,解熱鎮痛消炎剤,621577201,ジクロフェナクＮａ坐剤５０ｍｇ「ツルハラ」,個,1147700J3289,19.9,1,11442,-,-,-,-,-,-,-,-,-,-,-,1655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1512,-,-,-,-
114,解熱鎮痛消炎剤,621968301,カロナール坐剤小児用５０　５０ｍｇ,個,1141700J1088,19.3,0,11210,5033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6050,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
