区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1119402A2142,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「ファイザー」,マイラン製薬,後発品,,,"1,016",,
注射薬,1119402A3025,プロポフォール,１ｇ１００ｍＬ１瓶,,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,540",,
注射薬,1119402A3033,プロポフォール,１ｇ１００ｍＬ１瓶,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,781",,
注射薬,1119402A3041,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール注１％「Ｆ」,富士製薬工業,後発品,,,"1,540",H29.3.31まで,
注射薬,1119402A3050,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「日医工」,日医工,後発品,,,"1,540",,
注射薬,1119402A3084,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール静注１％１００ｍＬ「ＦＫ」,フレゼニウスカービジャパン,後発品,,,"1,540",,
注射薬,1119402A3092,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「ファイザー」,マイラン製薬,後発品,,,"1,540",,
注射薬,1119402A4021,プロポフォール,２００ｍｇ２０ｍＬ１瓶,,,,プロポフォール注１％「Ｆ」,富士製薬工業,後発品,,,734,H29.3.31まで,
注射薬,1119402A4056,プロポフォール,２００ｍｇ２０ｍＬ１瓶,,,,１％ディプリバン注,アスペンジャパン,,先発品,○,"1,171",H30.3.31まで,
注射薬,1119402A5028,プロポフォール,１ｇ５０ｍＬ１瓶,,,,２％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,540",,
注射薬,1119402G1025,プロポフォール,２００ｍｇ２０ｍＬ１筒,,,,１％ディプリバン注－キット,アスペンジャパン,,先発品,,"1,356",,
注射薬,1119402G2021,プロポフォール,５００ｍｇ５０ｍＬ１筒,,,,１％ディプリバン注－キット,アスペンジャパン,,先発品,,"1,920",,
注射薬,1124400A1040,フルニトラゼパム,２ｍｇ１管,,,,ロヒプノール静注用２ｍｇ,エーザイ,,先発品,,139,,
注射薬,1124400A1058,フルニトラゼパム,２ｍｇ１管,,,,サイレース静注２ｍｇ,エーザイ,,先発品,,154,,
注射薬,1124401A1052,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ドルミカム注射液１０ｍｇ,アステラス製薬,,先発品,○,124,,
注射薬,1124401A1060,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注１０ｍｇ「サンド」,サンド,後発品,,,69,,
注射薬,1124401A1079,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注射液１０ｍｇ「タイヨー」,武田テバファーマ,後発品,,,69,H28.9.30まで,
注射薬,1124401A1087,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注射液１０ｍｇ「テバ」,武田テバファーマ,後発品,,,69,,
注射薬,1124402A1030,ジアゼパム,５ｍｇ１管,,,,セルシン注射液５ｍｇ,武田テバ薬品,,先発品,○,64,,
注射薬,1124402A1049,ジアゼパム,５ｍｇ１管,,,,ジアゼパム注射液５ｍｇ「タイヨー」,武田テバファーマ,後発品,,,56,,
注射薬,1124402A2045,ジアゼパム,１０ｍｇ１管,,,,ホリゾン注射液１０ｍｇ,丸石製薬,,先発品,○,93,,
注射薬,1124402A2053,ジアゼパム,１０ｍｇ１管,,,,セルシン注射液１０ｍｇ,武田テバ薬品,,先発品,○,93,,
注射薬,1124402A2061,ジアゼパム,１０ｍｇ１管,,,,ジアゼパム注射液１０ｍｇ「タイヨー」,武田テバファーマ,後発品,,,58,,
注射薬,1125401D2028,セコバルビタールナトリウム,２００ｍｇ１瓶,,,,注射用アイオナール・ナトリウム（０．２）,日医工,,,,233,,
注射薬,1125402A1054,フェノバルビタール,１０％１ｍＬ１管,,,,フェノバール注射液１００ｍｇ,藤永製薬,,,,73,,
注射薬,1129400A1038,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「マルイシ」,丸石製薬,,先発品,,"5,183",,
注射薬,1129400A1046,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「ホスピーラ」,ホスピーラ・ジャパン,,先発品,,"5,122",H29.9.30まで,
注射薬,1129400A1054,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「ファイザー」,ファイザー,,先発品,,"5,122",,H28.12.7収載
注射薬,1132400A1033,フェニトインナトリウム,５％５ｍＬ１管,,,,アレビアチン注２５０ｍｇ,大日本住友製薬,,先発品,,128,,
注射薬,1132401A1020,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,,,,ホストイン静注７５０ｍｇ,ノーベルファーマ,,先発品,,"6,361",,
注射薬,1139400F1023,フェノバルビタールナトリウム,２５０ｍｇ１瓶,,,,ノーベルバール静注用２５０ｍｇ,ノーベルファーマ,,先発品,,"2,119",,
注射薬,1139401A1020,ミダゾラム,１０ｍｇ１０ｍＬ１瓶,,,,ミダフレッサ静注０．１％,アルフレッサファーマ,,先発品,,"3,340",,
注射薬,1139402A1025,レベチラセタム,５００ｍｇ５ｍＬ１瓶,,,,イーケプラ点滴静注５００ｍｇ,ユーシービージャパン,,先発品,,"1,978",,
注射薬,1141400A1024,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１瓶,,,,アセリオ静注液１０００ｍｇ,テルモ,,先発品,,332,,
注射薬,1141400A2020,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１袋,,,,アセリオ静注液１０００ｍｇバッグ,テルモ,,先発品,,332,,H28.11.18収載
注射薬,1143400A1037,サリチル酸ナトリウム,５％５ｍＬ１管,,,,サルソニン静注０．２５ｇ,扶桑薬品工業,後発品,,,56,,
注射薬,1143400A2092,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,ハフトロン静注０．５ｇ,東和薬品,後発品,,,58,,
注射薬,1143400A2106,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サルソニン静注０．５ｇ,扶桑薬品工業,後発品,,,58,,
注射薬,1143400A2114,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,ザルソロン静注５００ｍｇ,共和薬品工業,後発品,,,58,,
注射薬,1143400A2130,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,ヘパルス静注０．５ｇ,コーアイセイ,後発品,,,58,,
注射薬,1143400A2149,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サリチル酸ナトリウム静注０．５ｇ「日新」,日新製薬（山形）,後発品,,,58,,
注射薬,1144400A1018,スルピリン水和物,１０％２ｍＬ１管,局,,,スルピリン注射液,,,,,95,,
注射薬,1144400A2014,スルピリン水和物,２５％１ｍＬ１管,局,,,スルピリン注射液,,,,,92,,
注射薬,1144400A3010,スルピリン水和物,２５％２ｍＬ１管,局,,,スルピリン注射液,,,,,92,,
注射薬,1144400A3126,スルピリン水和物,２５％２ｍＬ１管,局,,,メチロン注２５％,第一三共,,,,95,,
注射薬,1144400A4017,スルピリン水和物,５０％１ｍＬ１管,局,,,スルピリン注射液,,,,,92,,
注射薬,1149400A1049,トラマドール塩酸塩,１００ｍｇ１管,,,,トラマール注１００,日本新薬,,先発品,,99,,
注射薬,1149401A1027,ペンタゾシン,１５ｍｇ１管,,,,ソセゴン注射液１５ｍｇ,丸石製薬,,先発品,,65,,
注射薬,1149401A1051,ペンタゾシン,１５ｍｇ１管,,,,ペンタジン注射液１５,第一三共,,先発品,,64,H30.3.31まで,
注射薬,1149401A1060,ペンタゾシン,１５ｍｇ１管,,,,トスパリール注１５,小林化工,★,,,65,,
注射薬,1149401A2023,ペンタゾシン,３０ｍｇ１管,,,,ソセゴン注射液３０ｍｇ,丸石製薬,,先発品,○,126,,
注射薬,1149401A2058,ペンタゾシン,３０ｍｇ１管,,,,ペンタジン注射液３０,第一三共,,先発品,○,127,H30.3.31まで,
注射薬,1149401A2066,ペンタゾシン,３０ｍｇ１管,,,,トスパリール注３０ｍｇ,小林化工,後発品,,,108,,
注射薬,1149402A1056,ケトプロフェン,５０ｍｇ１管,,,,カピステン筋注５０ｍｇ,キッセイ薬品工業,,先発品,○,123,,
注射薬,1149402A1080,ケトプロフェン,５０ｍｇ１管,,,,ケトプロフェン筋注５０ｍｇ「日新」,日新製薬（山形）,後発品,,,56,,
注射薬,1149403A1050,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,レペタン注０．２ｍｇ,大塚製薬,,先発品,○,137,,
注射薬,1149403A1077,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,ブプレノルフィン注０．２ｍｇ「日新」,日新製薬（山形）,後発品,,,78,,
注射薬,1149403A2057,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,レペタン注０．３ｍｇ,大塚製薬,,先発品,○,203,,
注射薬,1149403A2073,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,ブプレノルフィン注０．３ｍｇ「日新」,日新製薬（山形）,後発品,,,99,,
注射薬,1149405A1025,エプタゾシン臭化水素酸塩,１．５％１ｍＬ１管,,,,セダペイン注１５,日医工,,先発品,,169,,
注射薬,1149407A1040,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,,,,ロピオン静注５０ｍｇ,科研製薬,,先発品,,229,,
注射薬,1149500A1098,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,ピリツイン注,コーアイセイ,後発品,,,58,,
注射薬,1149500A1101,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,カシミタール静注,東和薬品,,,,60,,
注射薬,1149500A1110,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,カシワドール静注,共和クリティケア,,,,77,,
注射薬,1149500A1128,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,ザルソロイチン静注２０ｍＬ,日医工ファーマ,後発品,,,58,,
注射薬,1149501A1068,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,サイリジン注,コーアイセイ,後発品,,,60,,
注射薬,1149501A1092,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ザルチロン注,東和薬品,後発品,,,60,,
注射薬,1149501A1122,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,カシロン静注１０ｍＬ,共和薬品工業,後発品,,,60,,
注射薬,1149501A1130,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ザルソロイチン静注１０ｍＬ,日医工ファーマ,後発品,,,60,,
注射薬,1149501A1149,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ヤスラミン配合静注,ニプロ,後発品,,,60,,
注射薬,1149502A1038,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ジブカルソー注,日新製薬（山形）,後発品,,,58,,
注射薬,1149502A1070,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ビーセルファ注,東和薬品,後発品,,,58,,
注射薬,1149502A1089,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ネオビタカイン注２ｍＬ,ビタカイン製薬,,,,183,,
注射薬,1149502A1097,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,タイオゼット注２ｍＬ,武田テバファーマ,後発品,,,58,,
注射薬,1149502A1100,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ジカベリン注２ｍＬ,シオノケミカル,後発品,,,58,,
注射薬,1149502A1119,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,トリガイン注２ｍＬ,共和薬品工業,後発品,,,58,H30.3.31まで,
注射薬,1149502G1022,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,,,,ネオビタカイン注シリンジ２ｍＬ,ビタカイン製薬,,,,310,,
注射薬,1149503A1016,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,,後発品,,,62,,
注射薬,1149503A1032,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ジブカルソー注,日新製薬（山形）,後発品,,,73,,
注射薬,1149503A1075,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ビーセルファ注,東和薬品,後発品,,,73,,
注射薬,1149503A1083,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ネオビタカイン注５ｍＬ,ビタカイン製薬,,,,224,,
注射薬,1149503A1105,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ジカベリン注５ｍＬ,シオノケミカル,後発品,,,73,,
注射薬,1149503A1113,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,トリガイン注５ｍＬ,共和薬品工業,後発品,,,73,H30.3.31まで,
注射薬,1149503G1027,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,,,,ネオビタカイン注シリンジ５ｍＬ,ビタカイン製薬,,,,347,,
注射薬,1149601A1031,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,,,,ノイロトロピン注射液１．２単位,日本臓器製薬,,,,86,,
注射薬,1149601A2046,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ナブトピン注,東菱薬品工業,後発品,,,80,H29.3.31まで,
注射薬,1149601A2062,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ノイロトロピン注射液３．６単位,日本臓器製薬,,,,163,,
注射薬,1149601A2097,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ナブトピン注３．６単位,東菱薬品工業,後発品,,,80,,H28.6.17収載
注射薬,1151400A1020,メタンフェタミン塩酸塩,０．３％１ｍＬ１管,,,,ヒロポン注射液,大日本住友製薬,,,,612,,
注射薬,1162400A1040,乳酸ビペリデン,０．５％１ｍＬ１管,,,,タスモリン注５ｍｇ,田辺三菱製薬,後発品,,,56,,
注射薬,1162400A1059,乳酸ビペリデン,０．５％１ｍＬ１管,,,,アキネトン注射液５ｍｇ,大日本住友製薬,,,,58,,
注射薬,1164400A1045,レボドパ,０．２５％１０ｍＬ１管,,,,ドパストン静注２５ｍｇ,大原薬品工業,,先発品,,148,,
注射薬,1164400A2041,レボドパ,０．２５％２０ｍＬ１管,,,,ドパストン静注５０ｍｇ,大原薬品工業,,先発品,,270,,
注射薬,1169400G1028,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,,,,アポカイン皮下注３０ｍｇ,協和発酵キリン,,先発品,,"7,766",,
注射薬,1171400A1015,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,92,,
注射薬,1171400A2011,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,92,,
注射薬,1171400A3018,クロルプロマジン塩酸塩,１％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,94,,
注射薬,1172402A1046,塩酸ペルフェナジン,０．２％１ｍＬ１管,,,,ピーゼットシー筋注２ｍｇ,田辺三菱製薬,,,,61,,
注射薬,1172403A1040,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,,レボトミン筋注２５ｍｇ,田辺三菱製薬,,,,56,,
注射薬,1172403A1059,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,,ヒルナミン筋注２５ｍｇ,塩野義製薬,,,,56,,
注射薬,1172404A1037,プロクロルペラジン,０．５％１ｍＬ１管,,,,ノバミン筋注５ｍｇ,塩野義製薬,,,,59,,
注射薬,1172405A1031,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,,,,フルデカシン筋注２５ｍｇ,田辺三菱製薬,,先発品,,"1,524",,
注射薬,1174401A1038,クロミプラミン塩酸塩,２５ｍｇ１管,,,,アナフラニール点滴静注液２５ｍｇ,アルフレッサファーマ,,先発品,,227,,
注射薬,1179401A1026,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ファイザー,,,,56,,
注射薬,1179401A2022,ヒドロキシジン塩酸塩,５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ファイザー,,,,59,,
注射薬,1179403A1050,スルピリド,１００ｍｇ１管,,,,ドグマチール筋注１００ｍｇ,アステラス製薬,,先発品,,138,,
注射薬,1179404A1070,ハロペリドール,０．５％１ｍＬ１管,局,,,セレネース注５ｍｇ,大日本住友製薬,,,,89,,H29.10.1局方品
注射薬,1179404A1089,ハロペリドール,０．５％１ｍＬ１管,,,,リントン注５ｍｇ,田辺三菱製薬,後発品,,,56,H30.3.31まで,
注射薬,1179404A1097,ハロペリドール,０．５％１ｍＬ１管,局,,,ハロペリドール注５ｍｇ「ヨシトミ」,田辺三菱製薬,後発品,,,56,,H29.6.16収載
注射薬,1179405A1032,チミペロン,４ｍｇ２ｍＬ１管,,,,トロペロン注４ｍｇ,第一三共,,先発品,,201,,
注射薬,1179406A1029,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ネオペリドール注５０,ジョンソン・エンド・ジョンソン,,先発品,,"1,570",,
注射薬,1179406A1037,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ハロマンス注５０ｍｇ,ヤンセンファーマ,,先発品,,"1,679",,
注射薬,1179406A2025,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,,ネオペリドール注１００,ジョンソン・エンド・ジョンソン,,先発品,,"2,456",,
注射薬,1179406A2033,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,,ハロマンス注１００ｍｇ,ヤンセンファーマ,,先発品,,"2,668",,
注射薬,1179407G1026,リスペリドン,２５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用２５ｍｇ,ヤンセンファーマ,,先発品,,"24,192",,
注射薬,1179407G2022,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用３７．５ｍｇ,ヤンセンファーマ,,先発品,,"31,883",,
注射薬,1179407G3029,リスペリドン,５０ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用５０ｍｇ,ヤンセンファーマ,,先発品,,"38,780",,
注射薬,1179408E1020,オランザピン,１０ｍｇ１瓶,,,,ジプレキサ筋注用１０ｍｇ,日本イーライリリー,,先発品,,"2,126",,
注射薬,1179409G1025,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,,,,ゼプリオン水懸筋注２５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"18,958",,
注射薬,1179409G2021,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,,,,ゼプリオン水懸筋注５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"30,391",,
注射薬,1179409G3028,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,,,,ゼプリオン水懸筋注７５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"40,051",,
注射薬,1179409G4024,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,,,,ゼプリオン水懸筋注１００ｍｇシリンジ,ヤンセンファーマ,,先発品,,"48,716",,
注射薬,1179409G5020,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,,,,ゼプリオン水懸筋注１５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"64,202",,
注射薬,1179410E1027,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用３００ｍｇ,大塚製薬,,先発品,,"38,212",,
注射薬,1179410E2023,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用４００ｍｇ,大塚製薬,,先発品,,"46,480",,
注射薬,1179410G1028,アリピプラゾール水和物,３００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用３００ｍｇシリンジ,大塚製薬,,先発品,,"38,271",,
注射薬,1179410G2024,アリピプラゾール水和物,４００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用４００ｍｇシリンジ,大塚製薬,,先発品,,"46,539",,
注射薬,1190401A1015,エダラボン,３０ｍｇ２０ｍＬ１管,,,,エダラボン３０ｍｇ２０ｍＬ注射液,,後発品,,,"1,450",,
注射薬,1190401A1023,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,ラジカット注３０ｍｇ,田辺三菱製薬,,先発品,○,"5,115",,
注射薬,1190401A1031,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,"2,837",,
注射薬,1190401A1058,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＫＮ」,小林化工,後発品,,,"1,989",,
注射薬,1190401A1066,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＮＰ」,ニプロ,後発品,,,"1,989",,
注射薬,1190401A1074,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「アイロム」,共和クリティケア,後発品,,,"1,989",H29.3.31まで,
注射薬,1190401A1082,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「アメル」,共和薬品工業,後発品,,,"1,989",H30.3.31まで,
注射薬,1190401A1104,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,"1,989",,
注射薬,1190401A1112,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「タカタ」,高田製薬,後発品,,,"1,989",,
注射薬,1190401A1139,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ファイザー」,ファイザー,後発品,,,"1,989",,
注射薬,1190401A1147,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,"1,989",,
注射薬,1190401A1155,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,"1,989",,H29.10.1局方品
注射薬,1190401A1163,エダラボン,３０ｍｇ２０ｍＬ１管,,,,エダラボン点滴静注液３０ｍｇ「ＹＤ」,陽進堂,後発品,,,"1,989",H30.3.31まで,
注射薬,1190401A1171,エダラボン,３０ｍｇ２０ｍＬ１管,,,,エダラボン点滴静注液３０ｍｇ「ケミファ」,日本ケミファ,後発品,,,"2,837",,
注射薬,1190401A1198,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「サワイ」,沢井製薬,後発品,,,"2,837",,
注射薬,1190401A1201,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「日医工」,日医工,後発品,,,"1,989",,H29.10.1局方品
注射薬,1190401A1228,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＨＫ」,光製薬,後発品,,,"1,989",H30.3.31まで,
注射薬,1190401A1236,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ＴＹＫ」,武田テバ薬品,後発品,,,"2,837",,H29.10.1局方品
注射薬,1190401A1244,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,"1,989",H30.3.31まで,
注射薬,1190401A2020,エダラボン,３０ｍｇ２０ｍＬ１瓶,局,,,エダラボン点滴静注３０ｍｇ「トーワ」,東和薬品,後発品,,,"1,989",,
注射薬,1190401A2038,エダラボン,３０ｍｇ２０ｍＬ１瓶,局,,,エダラボン点滴静注液３０ｍｇ「Ｆ」,富士製薬工業,後発品,,,"1,989",,
注射薬,1190401G1026,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,ラジカット点滴静注バッグ３０ｍｇ,田辺三菱製薬,,先発品,○,"5,115",,H29.10.1局方品
