区分,薬価基準収載医薬品コード,成分名,規格,品名,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1119402A2088,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,プロポフォール静注１％「ホスピーラ」,ホスピーラ・ジャパン,後発品,,,"1,006",H26.3.31まで,
注射薬,1119402A2096,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,プロポフォール注１％「マイラン」,マイラン製薬,後発品,,,"1,101",H25.9.30まで,
注射薬,1119402A2100,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,プロポフォール１％静注５０ｍＬ「日医工」,日医工,後発品,,,"1,101",,
注射薬,1119402A2118,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,プロポフォール静注１％「ＫＡＢＩ」,フレゼニウス　カビ　アーゲー,後発品,,,"1,006",,
注射薬,1119402A2126,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,プロポフォール１％静注５０ｍＬ「マイラン」,マイラン製薬,後発品,,,"1,101",,H24.12.14収載
注射薬,1119402A3025,プロポフォール,１ｇ１００ｍＬ１瓶,,,１％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"1,961",,
注射薬,1119402A3033,プロポフォール,１ｇ１００ｍＬ１瓶,,,１％ディプリバン注,アストラゼネカ,,先発品,○,"2,281",,
注射薬,1119402A3041,プロポフォール,１ｇ１００ｍＬ１瓶,,,プロポフォール注１％「Ｆ」,富士製薬工業,後発品,,,"2,090",,
注射薬,1119402A3050,プロポフォール,１ｇ１００ｍＬ１瓶,,,プロポフォール１％静注１００ｍＬ「日医工」,日医工,後発品,,,"1,355",,H24.12.14収載
注射薬,1119402A3068,プロポフォール,１ｇ１００ｍＬ１瓶,,,プロポフォール１％静注１００ｍＬ「マイラン」,マイラン製薬,後発品,,,"1,355",,H24.12.14収載
注射薬,1119402A3076,プロポフォール,１ｇ１００ｍＬ１瓶,,,プロポフォール静注１％「ＫＡＢＩ」,フレゼニウス　カビ　アーゲー,後発品,,,"1,290",,H24.12.14収載
注射薬,1119402A4021,プロポフォール,２００ｍｇ２０ｍＬ１瓶,,,プロポフォール注１％「Ｆ」,富士製薬工業,後発品,,,871,,
注射薬,1119402A4048,プロポフォール,２００ｍｇ２０ｍＬ１瓶,,,プロポフォール静注１％「ホスピーラ」,ホスピーラ・ジャパン,後発品,,,871,H26.3.31まで,
注射薬,1119402A4056,プロポフォール,２００ｍｇ２０ｍＬ１瓶,,,１％ディプリバン注,アストラゼネカ,,先発品,○,"1,275",,H25.6.21収載
注射薬,1119402A5028,プロポフォール,１ｇ５０ｍＬ１瓶,,,２％プロポフォール注「マルイシ」,丸石製薬,後発品,,,"2,360",,
注射薬,1119402G1025,プロポフォール,２００ｍｇ２０ｍＬ１筒,,,１％ディプリバン注－キット,アストラゼネカ,,先発品,,"1,521",,
注射薬,1119402G2021,プロポフォール,５００ｍｇ５０ｍＬ１筒,,,１％ディプリバン注－キット,アストラゼネカ,,先発品,,"2,208",,
注射薬,1124400A1040,フルニトラゼパム,２ｍｇ１管,,,ロヒプノール静注用２ｍｇ,中外製薬,,先発品,,145,,
注射薬,1124400A1058,フルニトラゼパム,２ｍｇ１管,,,サイレース静注２ｍｇ,エーザイ,,先発品,,159,,
注射薬,1124401A1052,ミダゾラム,１０ｍｇ２ｍＬ１管,,,ドルミカム注射液１０ｍｇ,アステラス製薬,,先発品,○,138,,
注射薬,1124401A1060,ミダゾラム,１０ｍｇ２ｍＬ１管,,,ミダゾラム注１０ｍｇ「サンド」,サンド,後発品,,,81,,
注射薬,1124401A1079,ミダゾラム,１０ｍｇ２ｍＬ１管,,,ミダゾラム注射液１０ｍｇ「タイヨー」,テバ製薬,後発品,,,81,,
注射薬,1124402A1030,ジアゼパム,５ｍｇ１管,,,セルシン注射液５ｍｇ,武田薬品工業,,先発品,○,67,,
注射薬,1124402A1049,ジアゼパム,５ｍｇ１管,,,ジアゼパム注射液５ｍｇ「タイヨー」,テバ製薬,後発品,,,56,,
注射薬,1124402A2045,ジアゼパム,１０ｍｇ１管,,,ホリゾン注射液１０ｍｇ,丸石製薬,,先発品,○,100,,
注射薬,1124402A2053,ジアゼパム,１０ｍｇ１管,,,セルシン注射液１０ｍｇ,武田薬品工業,,先発品,○,100,,
注射薬,1124402A2061,ジアゼパム,１０ｍｇ１管,,,ジアゼパム注射液１０ｍｇ「タイヨー」,テバ製薬,後発品,,,60,,
注射薬,1125400X1015,アモバルビタールナトリウム,２５０ｍｇ１管,局,,注射用アモバルビタールナトリウム,,,,,141,H25.3.31まで,
注射薬,1125400X2011,アモバルビタールナトリウム,５００ｍｇ１管,局,,注射用アモバルビタールナトリウム,,,,,187,H25.3.31まで,
注射薬,1125401D2028,セコバルビタールナトリウム,２００ｍｇ１瓶,,,注射用アイオナール・ナトリウム（０．２）,日医工,,,,246,,
注射薬,1125402A1054,フェノバルビタール,１０％１ｍＬ１管,,,フェノバール注射液１００ｍｇ,藤永製薬,,,,75,,
注射薬,1129400A1038,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,プレセデックス静注液２００μｇ「マルイシ」,丸石製薬,,先発品,,"5,077",,
注射薬,1129400A1046,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,プレセデックス静注液２００μｇ「ホスピーラ」,ホスピーラ・ジャパン,,先発品,,"5,077",,
注射薬,1132400A1033,フェニトインナトリウム,５％５ｍＬ１管,,,アレビアチン注２５０ｍｇ,大日本住友製薬,,先発品,,132,,
注射薬,1132401A1020,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,,,ホストイン静注７５０ｍｇ,ノーベルファーマ,,先発品,,"6,184",,
注射薬,1139400F1023,フェノバルビタールナトリウム,２５０ｍｇ１瓶,,,ノーベルバール静注用２５０ｍｇ,ノーベルファーマ,,先発品,,"2,060",,
注射薬,1141400A1024,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１瓶,,,アセリオ静注液１０００ｍｇ,テルモ,,先発品,,332,,H25.8.27収載
注射薬,1143400A1037,サリチル酸ナトリウム,５％５ｍＬ１管,,,サルソニン静注０．２５ｇ,扶桑薬品工業,後発品,,,56,,
注射薬,1143400A2084,サリチル酸ナトリウム,５％１０ｍＬ１管,,,ジノリン注射液５％,テバ製薬,後発品,,,56,H25.3.31まで,
注射薬,1143400A2092,サリチル酸ナトリウム,５％１０ｍＬ１管,,,ハフトロン静注０．５ｇ,東和薬品,後発品,,,56,,
注射薬,1143400A2106,サリチル酸ナトリウム,５％１０ｍＬ１管,,,サルソニン静注０．５ｇ,扶桑薬品工業,後発品,,,59,,
注射薬,1143400A2114,サリチル酸ナトリウム,５％１０ｍＬ１管,,,ザルソロン静注５００ｍｇ,共和薬品工業,後発品,,,56,,
注射薬,1143400A2122,サリチル酸ナトリウム,５％１０ｍＬ１管,,,ネオザルベリン静注０．５ｇ,日新製薬（山形）,後発品,,,56,,
注射薬,1143400A2130,サリチル酸ナトリウム,５％１０ｍＬ１管,,,ヘパルス静注０．５ｇ,イセイ,後発品,,,56,,
注射薬,1144400A1018,スルピリン水和物,１０％２ｍＬ１管,局,,スルピリン注射液,,,,,95,,
注射薬,1144400A2014,スルピリン水和物,２５％１ｍＬ１管,局,,スルピリン注射液,,,,,92,,
注射薬,1144400A3010,スルピリン水和物,２５％２ｍＬ１管,局,,スルピリン注射液,,,,,92,,
注射薬,1144400A3126,スルピリン水和物,２５％２ｍＬ１管,局,,メチロン注２５％,第一三共,,,,94,,
注射薬,1144400A3169,スルピリン水和物,２５％２ｍＬ１管,局,,スペロン注５００ｍｇ,扶桑薬品工業,,,,94,,
注射薬,1144400A4017,スルピリン水和物,５０％１ｍＬ１管,局,,スルピリン注射液,,,,,92,,
注射薬,1149400A1049,トラマドール塩酸塩,１００ｍｇ１管,,,トラマール注１００,日本新薬,,先発品,,100,,
注射薬,1149401A1027,ペンタゾシン,１５ｍｇ１管,,,ソセゴン注射液１５ｍｇ,丸石製薬,,先発品,○,69,,
注射薬,1149401A1051,ペンタゾシン,１５ｍｇ１管,,,ペンタジン注射液１５,第一三共,,先発品,○,69,,
注射薬,1149401A1060,ペンタゾシン,１５ｍｇ１管,,,トスパリール注１５,小林化工,★,,,69,,
注射薬,1149401A2023,ペンタゾシン,３０ｍｇ１管,,,ソセゴン注射液３０ｍｇ,丸石製薬,,先発品,○,136,,
注射薬,1149401A2058,ペンタゾシン,３０ｍｇ１管,,,ペンタジン注射液３０,第一三共,,先発品,○,136,,
注射薬,1149401A2066,ペンタゾシン,３０ｍｇ１管,,,トスパリール注３０ｍｇ,小林化工,後発品,,,118,,
注射薬,1149402A1056,ケトプロフェン,５０ｍｇ１管,,,カピステン筋注５０ｍｇ,キッセイ薬品工業,,先発品,○,129,,
注射薬,1149402A1072,ケトプロフェン,５０ｍｇ１管,,,メジェイド筋注５０ｍｇ,日新製薬（山形）,後発品,,,56,,
注射薬,1149403A1050,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,レペタン注０．２ｍｇ,大塚製薬,,先発品,○,149,,
注射薬,1149403A1069,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,ザルバン注０．２ｍｇ,日新製薬（山形）,後発品,,,81,,
注射薬,1149403A2057,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,レペタン注０．３ｍｇ,大塚製薬,,先発品,○,220,,
注射薬,1149403A2065,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,ザルバン注０．３ｍｇ,日新製薬（山形）,後発品,,,106,,
注射薬,1149405A1025,エプタゾシン臭化水素酸塩,１．５％１ｍＬ１管,,,セダペイン注１５,日医工,,先発品,,176,,
注射薬,1149407A1040,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,,,ロピオン静注５０ｍｇ,科研製薬,,先発品,,241,,
注射薬,1149500A1080,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,ロイサールＳ注射液,科研製薬,後発品,,,67,,
注射薬,1149500A1098,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,ピリツイン注,イセイ,後発品,,,59,,
注射薬,1149500A1101,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,カシミタール静注,東和薬品,,,,59,,
注射薬,1149500A1110,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,カシワドール静注,アイロム製薬,,,,75,,
注射薬,1149500A1128,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,ザルソロイチン静注２０ｍＬ,日医工,後発品,,,56,,
注射薬,1149501A1033,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,シボンＮ注,マイラン製薬,後発品,,,59,H26.3.31まで,
注射薬,1149501A1068,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,サイリジン注,イセイ,後発品,,,56,,
注射薬,1149501A1076,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,ヤスラミン注,ニプロ,後発品,,,59,,
注射薬,1149501A1092,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,ザルチロン注,東和薬品,後発品,,,59,,
注射薬,1149501A1106,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,ハウゼマイム注,日新製薬（山形）,後発品,,,59,H26.3.31まで,
注射薬,1149501A1122,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,カシロン静注１０ｍＬ,共和薬品工業,後発品,,,64,,
注射薬,1149501A1130,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,ザルソロイチン静注１０ｍＬ,日医工,後発品,,,56,,
注射薬,1149501G1028,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１筒,,,ガシクロン注シリンジ１０ｍＬ,テバ製薬,後発品,,,151,H25.3.31まで,
注射薬,1149502A1038,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,ジブカルソー注,日新製薬（山形）,後発品,,,60,,
注射薬,1149502A1070,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,ビーセルファ注,東和薬品,後発品,,,60,,
注射薬,1149502A1089,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,ネオビタカイン注２ｍＬ,ビタカイン製薬,,,,179,,
注射薬,1149502A1097,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,タイオゼット注２ｍＬ,テバ製薬,後発品,,,60,,
注射薬,1149502A1100,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,ジカベリン注２ｍＬ,シオノケミカル,後発品,,,60,,
注射薬,1149502A1119,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,トリガイン注２ｍＬ,共和薬品工業,後発品,,,60,,
注射薬,1149502G1022,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,,,ネオビタカイン注シリンジ２ｍＬ,ビタカイン製薬,,,,309,,
注射薬,1149503A1032,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,ジブカルソー注,日新製薬（山形）,後発品,,,74,,
注射薬,1149503A1075,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,ビーセルファ注,東和薬品,後発品,,,81,,
注射薬,1149503A1083,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,ネオビタカイン注５ｍＬ,ビタカイン製薬,,,,223,,
注射薬,1149503A1091,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,タイオゼット注５ｍＬ,テバ製薬,後発品,,,67,,
注射薬,1149503A1105,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,ジカベリン注５ｍＬ,シオノケミカル,後発品,,,81,,
注射薬,1149503A1113,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,トリガイン注５ｍＬ,共和薬品工業,後発品,,,74,,
注射薬,1149503G1027,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,,,ネオビタカイン注シリンジ５ｍＬ,ビタカイン製薬,,,,351,,
注射薬,1149601A1031,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,,,ノイロトロピン注射液１．２単位,日本臓器製薬,,,,85,,
注射薬,1149601A2046,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,ナブトピン注,東菱薬品工業,後発品,,,86,,
注射薬,1149601A2062,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,ノイロトロピン注射液３．６単位,日本臓器製薬,,,,167,,
注射薬,1149601A2089,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,ノルポート注３．６単位,テバ製薬,後発品,,,86,,
注射薬,1151400A1020,メタンフェタミン塩酸塩,０．３％１ｍＬ１管,,,ヒロポン注射液,大日本住友製薬,,,,612,,
注射薬,1153400A1033,ベメグリド,０．５％１０ｍＬ１管,,,メヂバール注５０ｍｇ,田辺三菱製薬,,,,364,,
注射薬,1162400A1040,乳酸ビペリデン,０．５％１ｍＬ１管,,,タスモリン注５ｍｇ,田辺三菱製薬,後発品,,,56,,
注射薬,1162400A1059,乳酸ビペリデン,０．５％１ｍＬ１管,,,アキネトン注射液５ｍｇ,大日本住友製薬,,,,58,,
注射薬,1164400A1045,レボドパ,０．２５％１０ｍＬ１管,,,ドパストン静注２５ｍｇ,大原薬品工業,,先発品,,153,,
注射薬,1164400A2041,レボドパ,０．２５％２０ｍＬ１管,,,ドパストン静注５０ｍｇ,大原薬品工業,,先発品,,281,,
注射薬,1169400G1028,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,,,アポカイン皮下注３０ｍｇ,協和発酵キリン,,先発品,,"7,550",,H24.5.29収載
注射薬,1171400A1015,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,局,,クロルプロマジン塩酸塩注射液,,,,,92,,
注射薬,1171400A2011,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,局,,クロルプロマジン塩酸塩注射液,,,,,92,,
注射薬,1171400A3018,クロルプロマジン塩酸塩,１％５ｍＬ１管,局,,クロルプロマジン塩酸塩注射液,,,,,94,,
注射薬,1172402A1046,塩酸ペルフェナジン,０．２％１ｍＬ１管,,,ピーゼットシー筋注２ｍｇ,田辺三菱製薬,,,,61,,
注射薬,1172403A1040,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,レボトミン筋注２５ｍｇ,田辺三菱製薬,,,,56,,
注射薬,1172403A1059,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,ヒルナミン筋注２５ｍｇ,塩野義製薬,,,,56,,
注射薬,1172404A1037,プロクロルペラジン,０．５％１ｍＬ１管,,,ノバミン筋注５ｍｇ,塩野義製薬,,,,61,,
注射薬,1172405A1031,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,,,フルデカシン筋注２５ｍｇ,田辺三菱製薬,,先発品,,"1,560",,
注射薬,1172405G1026,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１筒,,,フルデカシンキット筋注２５ｍｇ,田辺三菱製薬,,先発品,,"1,776",H26.3.31まで,
注射薬,1174401A1038,クロミプラミン塩酸塩,２５ｍｇ１管,,,アナフラニール点滴静注液２５ｍｇ,アルフレッサファーマ,,先発品,,227,,
注射薬,1179401A1026,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,,,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ファイザー,,,,56,,
注射薬,1179401A2022,ヒドロキシジン塩酸塩,５％１ｍＬ１管,,,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ファイザー,,,,63,,
注射薬,1179403A1050,スルピリド,１００ｍｇ１管,,,ドグマチール筋注１００ｍｇ,アステラス製薬,,先発品,,143,,
注射薬,1179404A1070,ハロペリドール,０．５％１ｍＬ１管,,,セレネース注５ｍｇ,大日本住友製薬,,,,93,,
注射薬,1179404A1089,ハロペリドール,０．５％１ｍＬ１管,,,リントン注５ｍｇ,田辺三菱製薬,後発品,,,56,,
注射薬,1179405A1032,チミペロン,４ｍｇ２ｍＬ１管,,,トロペロン注４ｍｇ,第一三共,,先発品,,206,,
注射薬,1179406A1029,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,ネオペリドール注５０,ジョンソン・エンド・ジョンソン,,先発品,,"1,613",,
注射薬,1179406A1037,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,ハロマンス注５０ｍｇ,ヤンセンファーマ,,先発品,,"1,731",,
注射薬,1179406A2025,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,ネオペリドール注１００,ジョンソン・エンド・ジョンソン,,先発品,,"2,544",,
注射薬,1179406A2033,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,ハロマンス注１００ｍｇ,ヤンセンファーマ,,先発品,,"2,779",,
注射薬,1179407G1026,リスペリドン,２５ｍｇ１キット（懸濁用液付）,,,リスパダール　コンスタ筋注用２５ｍｇ,ヤンセンファーマ,,先発品,,"23,520",,
注射薬,1179407G2022,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,,,リスパダール　コンスタ筋注用３７．５ｍｇ,ヤンセンファーマ,,先発品,,"30,997",,
注射薬,1179407G3029,リスペリドン,５０ｍｇ１キット（懸濁用液付）,,,リスパダール　コンスタ筋注用５０ｍｇ,ヤンセンファーマ,,先発品,,"37,703",,
注射薬,1179408E1020,オランザピン,１０ｍｇ１瓶,,,ジプレキサ筋注用１０ｍｇ,日本イーライリリー,,先発品,,"2,067",,H24.11.22収載
注射薬,1179409G1025,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,,,ゼプリオン水懸筋注２５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"18,712",,H25.11.19収載
注射薬,1179409G2021,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,,,ゼプリオン水懸筋注５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"29,996",,H25.11.19収載
注射薬,1179409G3028,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,,,ゼプリオン水懸筋注７５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"39,531",,H25.11.19収載
注射薬,1179409G4024,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,,,ゼプリオン水懸筋注１００ｍｇシリンジ,ヤンセンファーマ,,先発品,,"48,083",,H25.11.19収載
注射薬,1179409G5020,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,,,ゼプリオン水懸筋注１５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"63,368",,H25.11.19収載
注射薬,1190401A1023,エダラボン,３０ｍｇ２０ｍＬ１管,,,ラジカット注３０ｍｇ,田辺三菱製薬,,先発品,○,"6,695",,
注射薬,1190401A1031,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,"4,226",,
注射薬,1190401A1040,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ＦＦＰ」,辰巳化学,後発品,,,"3,769",H26.3.31まで,
注射薬,1190401A1058,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ＫＮ」,小林化工,後発品,,,"4,226",,
注射薬,1190401A1066,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ＮＰ」,ニプロ,後発品,,,"4,226",,
注射薬,1190401A1074,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「アイロム」,アイロム製薬,後発品,,,"3,769",,
注射薬,1190401A1082,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「アメル」,共和薬品工業,後発品,,,"3,769",,
注射薬,1190401A1090,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「イセイ」,イセイ,後発品,,,"5,091",H25.3.31まで,
注射薬,1190401A1104,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「杏林」,キョーリンリメディオ,後発品,,,"3,368",,
注射薬,1190401A1112,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「タカタ」,高田製薬,後発品,,,"3,368",,
注射薬,1190401A1120,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ハラサワ」,原沢製薬工業,後発品,,,"3,368",,
注射薬,1190401A1139,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ファイザー」,ファイザー,後発品,,,"4,652",,
注射薬,1190401A1147,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,"3,368",,
注射薬,1190401A1155,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,"4,226",,
注射薬,1190401A1163,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「ＹＤ」,陽進堂,後発品,,,"3,769",,
注射薬,1190401A1171,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「ケミファ」,日本ケミファ,後発品,,,"4,024",,
注射薬,1190401A1180,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「興和テバ」,大正薬品工業,後発品,,,"3,769",H25.9.30まで,
注射薬,1190401A1198,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「サワイ」,沢井製薬,後発品,,,"4,226",,
注射薬,1190401A1201,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「日医工」,日医工,後発品,,,"3,368",,
注射薬,1190401A1210,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注液３０ｍｇ「マイラン」,マイラン製薬,後発品,,,"4,024",,
注射薬,1190401A1228,エダラボン,３０ｍｇ２０ｍＬ１管,,,エダラボン点滴静注３０ｍｇ「ＨＫ」,光製薬,後発品,,,"5,091",,H24.7.30収載
