区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考,
注射薬,1144400A3126,スルピリン水和物,２５％２ｍＬ１管,局,,,メチロン注２５％,第一三共,,,,97,R2.3.31まで,,
注射薬,1144400A4017,スルピリン水和物,５０％１ｍＬ１管,局,,,スルピリン注射液,,,,,94,,,
注射薬,1149400A1049,トラマドール塩酸塩,１００ｍｇ１管,,,,トラマール注１００,日本新薬,,先発品,,101,,,
注射薬,1149401A1027,ペンタゾシン,１５ｍｇ１管,,,,ソセゴン注射液１５ｍｇ,丸石製薬,,先発品,○,62,,,
注射薬,1149401A1086,ペンタゾシン,１５ｍｇ１管,,,,ペンタゾシン注１５ｍｇ「ＫＮ」,小林化工,後発品,,,59,,,
注射薬,1149401A2023,ペンタゾシン,３０ｍｇ１管,,,,ソセゴン注射液３０ｍｇ,丸石製薬,,先発品,○,119,,,
注射薬,1149401A2074,ペンタゾシン,３０ｍｇ１管,,,,ペンタゾシン注３０ｍｇ「ＫＮ」,小林化工,後発品,,,92,,,
注射薬,1149402A1056,ケトプロフェン,５０ｍｇ１管,,,,カピステン筋注５０ｍｇ,キッセイ薬品工業,,先発品,○,119,,,
注射薬,1149402A1080,ケトプロフェン,５０ｍｇ１管,,,,ケトプロフェン筋注５０ｍｇ「日新」,日新製薬（山形）,後発品,,,57,,,
注射薬,1149403A1050,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,レペタン注０．２ｍｇ,大塚製薬,,先発品,○,129,,,
注射薬,1149403A1077,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,ブプレノルフィン注０．２ｍｇ「日新」,日新製薬（山形）,後発品,,,75,,,
注射薬,1149403A2057,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,レペタン注０．３ｍｇ,大塚製薬,,先発品,○,197,,,
注射薬,1149403A2073,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,ブプレノルフィン注０．３ｍｇ「日新」,日新製薬（山形）,後発品,,,100,,,
注射薬,1149405A1025,エプタゾシン臭化水素酸塩,１．５％１ｍＬ１管,,,,セダペイン注１５,日医工,,先発品,,166,,,
注射薬,1149407A1040,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,,,,ロピオン静注５０ｍｇ,科研製薬,,先発品,,218,,,
注射薬,1149500A1101,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,カシミタール静注,東和薬品,,,,60,,,
注射薬,1149500A1110,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,カシワドール静注,共和クリティケア,,,,78,,,
注射薬,1149500A1128,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,ザルソロイチン静注２０ｍＬ,日医工ファーマ,後発品,,,59,,,
注射薬,1149501A1068,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,サイリジン注,コーアイセイ,後発品,,,60,R2.3.31まで,,
注射薬,1149501A1092,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ザルチロン注,東和薬品,後発品,,,60,,,
注射薬,1149501A1122,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,カシロン静注１０ｍＬ,共和薬品工業,後発品,,,60,R2.3.31まで,,
注射薬,1149501A1130,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ザルソロイチン静注１０ｍＬ,日医工ファーマ,後発品,,,60,,,
注射薬,1149501A1149,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,ヤスラミン配合静注,ニプロ,後発品,,,60,,,
注射薬,1149502A1038,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ジブカルソー注,日新製薬（山形）,後発品,,,59,,,
注射薬,1149502A1070,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ビーセルファ注,東和薬品,後発品,,,59,,,
注射薬,1149502A1089,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ネオビタカイン注２ｍＬ,ビタカイン製薬,,,,186,,,
注射薬,1149502A1097,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,タイオゼット注２ｍＬ,武田テバファーマ,後発品,,,59,,,
注射薬,1149502A1100,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ジカベリン注２ｍＬ,シオノケミカル,後発品,,,59,,,
注射薬,1149502G1022,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,,,,ネオビタカイン注シリンジ２ｍＬ,ビタカイン製薬,,,,312,,,
注射薬,1149503A1016,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,,後発品,,,64,,,
注射薬,1149503A1032,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ジブカルソー注,日新製薬（山形）,後発品,,,69,,,
注射薬,1149503A1075,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ビーセルファ注,東和薬品,後発品,,,69,,,
注射薬,1149503A1083,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ネオビタカイン注５ｍＬ,ビタカイン製薬,,,,226,,,
注射薬,1149503G1027,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,,,,ネオビタカイン注シリンジ５ｍＬ,ビタカイン製薬,,,,345,,,
注射薬,1149601A1031,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,,,,ノイロトロピン注射液１．２単位,日本臓器製薬,,,,86,,,
注射薬,1149601A2062,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ノイロトロピン注射液３．６単位,日本臓器製薬,,,,161,,,
注射薬,1149601A2097,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ナブトピン注３．６単位,東菱薬品工業,後発品,,,74,,,
注射薬,1151400A1020,メタンフェタミン塩酸塩,０．３％１ｍＬ１管,,,,ヒロポン注射液,大日本住友製薬,,,,623,R2.3.31まで,,
注射薬,1162400A1059,乳酸ビペリデン,０．５％１ｍＬ１管,,,,アキネトン注射液５ｍｇ,大日本住友製薬,,,,59,,,
注射薬,1162400A1067,乳酸ビペリデン,０．５％１ｍＬ１管,,,,乳酸ビペリデン注５ｍｇ「ヨシトミ」,田辺三菱製薬,後発品,,,57,,,
注射薬,1164400A1045,レボドパ,０．２５％１０ｍＬ１管,,,,ドパストン静注２５ｍｇ,大原薬品工業,,先発品,,145,,,
注射薬,1164400A2041,レボドパ,０．２５％２０ｍＬ１管,,,,ドパストン静注５０ｍｇ,大原薬品工業,,先発品,,258,,,
注射薬,1169400G1028,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,,,,アポカイン皮下注３０ｍｇ,協和キリン,,先発品,,"7,910",,,
注射薬,1171400A1015,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,94,,,
注射薬,1171400A2011,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,94,,,
注射薬,1171400A3018,クロルプロマジン塩酸塩,１％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,96,,,
注射薬,1172402A1046,塩酸ペルフェナジン,０．２％１ｍＬ１管,,,,ピーゼットシー筋注２ｍｇ,田辺三菱製薬,,,,60,,,
注射薬,1172403A1040,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,,レボトミン筋注２５ｍｇ,田辺三菱製薬,,,,57,,,
注射薬,1172403A1059,レボメプロマジン塩酸塩,２．５％１ｍＬ１管,,,,ヒルナミン筋注２５ｍｇ,共和薬品工業,,,,57,,,
注射薬,1172404A1037,プロクロルペラジン,０．５％１ｍＬ１管,,,,ノバミン筋注５ｍｇ,共和薬品工業,,,,59,,,
注射薬,1172405A1031,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,,,,フルデカシン筋注２５ｍｇ,田辺三菱製薬,,先発品,,"1,492",,,
注射薬,1174401A1038,クロミプラミン塩酸塩,２５ｍｇ１管,,,,アナフラニール点滴静注液２５ｍｇ,アルフレッサファーマ,,先発品,,227,,,
注射薬,1179401A1026,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ファイザー,,,,57,,,
注射薬,1179401A2022,ヒドロキシジン塩酸塩,５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ファイザー,,,,59,,,
注射薬,1179403A1050,スルピリド,１００ｍｇ１管,,,,ドグマチール筋注１００ｍｇ,アステラス製薬,,先発品,,136,,,
注射薬,1179404A1070,ハロペリドール,０．５％１ｍＬ１管,局,,,セレネース注５ｍｇ,大日本住友製薬,,,,91,,,
注射薬,1179404A1097,ハロペリドール,０．５％１ｍＬ１管,局,,,ハロペリドール注５ｍｇ「ヨシトミ」,田辺三菱製薬,後発品,,,57,,,
注射薬,1179405A1032,チミペロン,４ｍｇ２ｍＬ１管,,,,トロペロン注４ｍｇ,アルフレッサファーマ,,先発品,,197,,,
注射薬,1179406A1029,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ネオペリドール注５０,ジョンソン・エンド・ジョンソン,,先発品,,"1,534",,,
注射薬,1179406A1037,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ハロマンス注５０ｍｇ,ヤンセンファーマ,,先発品,,"1,632",,,
注射薬,1179406A2025,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,,ネオペリドール注１００,ジョンソン・エンド・ジョンソン,,先発品,,"2,378",,,
注射薬,1179406A2033,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,,ハロマンス注１００ｍｇ,ヤンセンファーマ,,先発品,,"2,572",,,
注射薬,1179407G1026,リスペリドン,２５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用２５ｍｇ,ヤンセンファーマ,,先発品,,"24,640",,,
注射薬,1179407G2022,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用３７．５ｍｇ,ヤンセンファーマ,,先発品,,"32,423",,,
注射薬,1179407G3029,リスペリドン,５０ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用５０ｍｇ,ヤンセンファーマ,,先発品,,"39,498",,,
注射薬,1179408E1020,オランザピン,１０ｍｇ１瓶,,,,ジプレキサ筋注用１０ｍｇ,日本イーライリリー,,先発品,,"1,968",,,
注射薬,1179409G1025,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,,,,ゼプリオン水懸筋注２５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"18,418",,,
注射薬,1179409G2021,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,,,,ゼプリオン水懸筋注５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"29,477",,,
注射薬,1179409G3028,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,,,,ゼプリオン水懸筋注７５ｍｇシリンジ,ヤンセンファーマ,,先発品,,"38,825",,,
注射薬,1179409G4024,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,,,,ゼプリオン水懸筋注１００ｍｇシリンジ,ヤンセンファーマ,,先発品,,"47,163",,,
注射薬,1179409G5020,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,,,,ゼプリオン水懸筋注１５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,"61,965",,,
注射薬,1179410E1027,アリピプラゾール水和物,３００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用３００ｍｇ,大塚製薬,,先発品,,"36,915",,,
注射薬,1179410E2023,アリピプラゾール水和物,４００ｍｇ１瓶（懸濁用液付）,,,,エビリファイ持続性水懸筋注用４００ｍｇ,大塚製薬,,先発品,,"45,090",,,
注射薬,1179410G1028,アリピプラゾール水和物,３００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用３００ｍｇシリンジ,大塚製薬,,先発品,,"37,170",,,
注射薬,1179410G2024,アリピプラゾール水和物,４００ｍｇ１キット,,,,エビリファイ持続性水懸筋注用４００ｍｇシリンジ,大塚製薬,,先発品,,"44,953",,,
注射薬,1190401A1015,エダラボン,３０ｍｇ２０ｍＬ１管,,,,エダラボン３０ｍｇ２０ｍＬ注射液,,後発品,,,"1,133",,,
注射薬,1190401A1023,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,ラジカット注３０ｍｇ,田辺三菱製薬,,先発品,○,"3,983",,,
注射薬,1190401A1031,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,"2,326",,,
注射薬,1190401A1058,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「ＫＮ」,小林化工,後発品,,,"1,454",,,
注射薬,1190401A1112,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「タカタ」,高田製薬,後発品,,,"1,454",,,
注射薬,1190401A1147,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注３０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,"1,454",,,
注射薬,1190401A1155,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,"1,454",,,
注射薬,1190401A1171,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ケミファ」,日本ケミファ,後発品,,,"2,326",,,
注射薬,1190401A1198,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「サワイ」,沢井製薬,後発品,,,"2,326",,,
注射薬,1190401A1201,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「日医工」,日医工,後発品,,,"1,454",,,
注射薬,1190401A1236,エダラボン,３０ｍｇ２０ｍＬ１管,局,,,エダラボン点滴静注液３０ｍｇ「ＴＹＫ」,武田テバ薬品,後発品,,,"2,326",R2.3.31まで,,
注射薬,1190401A2020,エダラボン,３０ｍｇ２０ｍＬ１瓶,局,,,エダラボン点滴静注３０ｍｇ「トーワ」,東和薬品,後発品,,,"1,454",,,
注射薬,1190401A2038,エダラボン,３０ｍｇ２０ｍＬ１瓶,局,,,エダラボン点滴静注液３０ｍｇ「Ｆ」,富士製薬工業,後発品,,,"1,454",,,
注射薬,1190401G1018,エダラボン,３０ｍｇ１００ｍＬ１キット,,,,エダラボン３０ｍｇ１００ｍＬキット,,後発品,,,"1,026",,,
注射薬,1190401G1026,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,ラジカット点滴静注バッグ３０ｍｇ,田辺三菱製薬,,先発品,○,"3,983",,,
注射薬,1190401G1034,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注３０ｍｇバッグ「ＤＳＥＰ」,第一三共エスファ,後発品,,,"1,468",,,
注射薬,1190401G1050,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注３０ｍｇバッグ「タカタ」,高田製薬,後発品,,,"1,468",,,
注射薬,1190401G1077,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注液３０ｍｇバッグ「ケミファ」,日本ケミファ,後発品,,,"1,468",,,
注射薬,1190401G1085,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注液３０ｍｇバッグ「サワイ」,沢井製薬,後発品,,,"2,047",,,
注射薬,1190401G1093,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注液３０ｍｇバッグ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,"1,468",,,
注射薬,1190401G1115,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注液バッグ３０ｍｇ「日医工」,日医工,後発品,,,"1,468",,,
注射薬,1190401G1131,エダラボン,３０ｍｇ１００ｍＬ１キット,局,,,エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」,日新製薬（山形）,後発品,,,"2,047",,,
