区分,薬価基準収載医薬品コード,成分名,規格,品名,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,薬価,経過措置による使用期限,備考
外用薬,1149700J2074,ケトプロフェン,７５ｍｇ１個,,,オルサポス坐剤７５,長生堂製薬,後発品,23.50,H22.6.30まで,
外用薬,1149700J2082,ケトプロフェン,７５ｍｇ１個,,,レイナノン坐剤７５,シオノケミカル,後発品,29.00,,
外用薬,1149700J2090,ケトプロフェン,７５ｍｇ１個,,,ケトプロフェン坐剤７５ｍｇ「タナベ」,長生堂製薬,後発品,23.50,,
外用薬,1149701J1013,ピロキシカム,２０ｍｇ１個,,,ピロキシカム２０ｍｇ坐剤,,後発品,26.00,,
外用薬,1149701J1030,ピロキシカム,２０ｍｇ１個,,,フェルデンサポジトリ,ファイザー,,149.70,H22.6.30まで,
外用薬,1149701J1102,ピロキシカム,２０ｍｇ１個,,,バキソ坐剤２０ｍｇ,富山化学工業,,149.70,,
外用薬,1149701J1129,ピロキシカム,２０ｍｇ１個,,,ベリーズ坐剤２０ｍｇ,祐徳薬品工業,後発品,41.80,H24.3.31まで,
外用薬,1149701J1145,ピロキシカム,２０ｍｇ１個,,,フェルデン坐剤２０ｍｇ,ファイザー,,149.70,,
外用薬,1149702J1026,イブプロフェン,５０ｍｇ１個,,,ユニプロン坐剤５０,昭和薬品化工,,44.90,,
外用薬,1149702J2022,イブプロフェン,１００ｍｇ１個,,,ユニプロン坐剤１００,昭和薬品化工,,57.70,,
外用薬,1149703J1020,塩酸ブプレノルフィン,０．２ｍｇ１個,,,レペタン坐剤０．２ｍｇ,大塚製薬,,181.60,,
外用薬,1149703J2027,塩酸ブプレノルフィン,０．４ｍｇ１個,,,レペタン坐剤０．４ｍｇ,大塚製薬,,239.90,,
外用薬,1149704S1020,ブプレノルフィン,５ｍｇ１枚,,,ノルスパンテープ５ｍｇ,ムンディファーマ,,"1,529.10",,H23.7.19収載
外用薬,1149704S2027,ブプレノルフィン,１０ｍｇ１枚,,,ノルスパンテープ１０ｍｇ,ムンディファーマ,,"2,356.40",,H23.7.19収載
外用薬,1149704S3023,ブプレノルフィン,２０ｍｇ１枚,,,ノルスパンテープ２０ｍｇ,ムンディファーマ,,"3,631.30",,H23.7.19収載
外用薬,1190700S1029,リバスチグミン,４．５ｍｇ１枚,,,イクセロンパッチ４．５ｍｇ,ノバルティス　ファーマ,,337.20,,H23.7.19収載
外用薬,1190700S1037,リバスチグミン,４．５ｍｇ１枚,,,リバスタッチパッチ４．５ｍｇ,小野薬品工業,,337.20,,H23.7.19収載
外用薬,1190700S2025,リバスチグミン,９ｍｇ１枚,,,イクセロンパッチ９ｍｇ,ノバルティス　ファーマ,,379.70,,H23.7.19収載
外用薬,1190700S2033,リバスチグミン,９ｍｇ１枚,,,リバスタッチパッチ９ｍｇ,小野薬品工業,,379.70,,H23.7.19収載
外用薬,1190700S3021,リバスチグミン,１３．５ｍｇ１枚,,,イクセロンパッチ１３．５ｍｇ,ノバルティス　ファーマ,,407.00,,H23.7.19収載
外用薬,1190700S3030,リバスチグミン,１３．５ｍｇ１枚,,,リバスタッチパッチ１３．５ｍｇ,小野薬品工業,,407.00,,H23.7.19収載
外用薬,1190700S4028,リバスチグミン,１８ｍｇ１枚,,,イクセロンパッチ１８ｍｇ,ノバルティス　ファーマ,,427.50,,H23.7.19収載
外用薬,1190700S4036,リバスチグミン,１８ｍｇ１枚,,,リバスタッチパッチ１８ｍｇ,小野薬品工業,,427.50,,H23.7.19収載
外用薬,1211700X1036,塩酸パラブチルアミノ安息香酸ジエチルアミノエチル,１ｇ,,,テーカイン原末,ナガセ医薬品,,268.40,,
外用薬,1211701X1014,プロカイン塩酸塩,１ｇ,局,,プロカイン塩酸塩,,,17.30,H24.3.31まで,H23.11.11一般名等
外用薬,1211701X1049,プロカイン塩酸塩,１ｇ,局,,塩酸プロカイン「ホエイ」,マイラン製薬,,22.00,,
外用薬,1211701X1090,プロカイン塩酸塩,１ｇ,局,,プロカイン塩酸塩原末「マルイシ」,丸石製薬,,19.50,,
外用薬,1213700X1014,ジブカイン塩酸塩,１ｇ,局,,ジブカイン塩酸塩,,,374.60,,H23.11.11一般名等
外用薬,1214700P1046,塩酸リドカイン,２％１ｍＬ,,,パートランゼリー２％,日新製薬（山形）,後発品,5.50,,
外用薬,1214700P1054,塩酸リドカイン,２％１ｍＬ,,,キシロカインゼリー２％,アストラゼネカ,,8.30,,
外用薬,1214700P1062,塩酸リドカイン,２％１ｍＬ,,,アネトカインゼリー２％,小林化工,後発品,5.30,,
外用薬,1214700Q1033,塩酸リドカイン,４％１ｍＬ,,,キシロカイン液「４％」,アストラゼネカ,,13.80,,
外用薬,1214700Q1041,塩酸リドカイン,４％１ｍＬ,,,キシロカイン点眼液４％,アストラゼネカ,,16.20,,
外用薬,1214701R1041,リドカイン,１ｇ,,,パートランポンプスプレー８％,日新製薬（山形）,後発品,19.70,,
外用薬,1214701R1050,リドカイン,１ｇ,,,キシロカインポンプスプレー８％,アストラゼネカ,後発品,24.40,,
外用薬,1214701S1043,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,ユーパッチテープ１８ｍｇ,祐徳薬品工業,後発品,37.40,,
外用薬,1214701S1051,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,ペンレステープ１８ｍｇ,日東電工,,47.70,,
外用薬,1214701S1060,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,リドカインテープ１８ｍｇ「ＮＰ」,ニプロファーマ,後発品,37.40,,H23.11.28収載
外用薬,1214701S1078,リドカイン,（１８ｍｇ）３０．５ｍｍ×５０．０ｍｍ１枚,,,リドカインテープ１８ｍｇ「ニプロ」,ニプロパッチ,後発品,37.40,,H23.11.28収載
外用薬,1311701Q1031,塩酸シクロペントラート,１％１ｍＬ,,,サイプレジン１％点眼液,参天製薬,,88.10,,
外用薬,1311702Q1036,塩酸フェニレフリン,５％１ｍＬ,,,ネオシネジンコーワ５％点眼液,興和,,46.90,,
外用薬,1311703X1019,ホマトロピン臭化水素酸塩,１ｇ,局,,ホマトロピン臭化水素酸塩,,,475.40,,H23.11.11一般名等
外用薬,1311705Q1048,トロピカミド,０．４％１ｍＬ,,,ミドリンＭ点眼液０．４％,参天製薬,,23.80,,
外用薬,1311705Q1056,トロピカミド,０．４％１ｍＬ,,,サンドールＭＹ点眼液０．４％,日本点眼薬研究所,後発品,18.10,,
外用薬,1311706M1024,アトロピン硫酸塩水和物,１％１ｇ,,,リュウアト１％眼軟膏,参天製薬,後発品,22.50,,
外用薬,1311706Q2022,アトロピン硫酸塩水和物,１％５ｍＬ１瓶,,,日点アトロピン点眼液１％,日本点眼薬研究所,後発品,97.40,,
外用薬,1311707Q1071,塩酸ジピベフリン,０．０４％１ｍＬ,,,ピバレフリン点眼液０．０４％,参天製薬,,179.20,,
外用薬,1311707Q2060,塩酸ジピベフリン,０．１％１ｍＬ,,,プロゲート０．１％,日本点眼薬研究所,後発品,180.00,H23.3.31まで,
外用薬,1311707Q2078,塩酸ジピベフリン,０．１％１ｍＬ,,,ピバレフリン点眼液０．１％,参天製薬,,269.60,,
外用薬,1312700X1012,ピロカルピン塩酸塩,１ｇ,局,,ピロカルピン塩酸塩,,,"1,191.00",,H23.11.11一般名等
外用薬,1312700X1039,ピロカルピン塩酸塩,１ｇ,局,,「純生」塩ピロ,純生薬品工業,,"1,343.20",H24.3.31まで,
外用薬,1312700X1055,ピロカルピン塩酸塩,１ｇ,局,,塩酸ピロカルピン「ホエイ」,マイラン製薬,,"1,343.20",,
外用薬,1312701Q1039,ピロカルピン塩酸塩,０．５％５ｍＬ１瓶,,,サンピロ０．５％,参天製薬,,120.50,H22.6.30まで,
外用薬,1312701Q1063,ピロカルピン塩酸塩,０．５％５ｍＬ１瓶,,,サンピロ点眼液０．５％,参天製薬,,120.50,,
外用薬,1312701Q2043,ピロカルピン塩酸塩,１％５ｍＬ１瓶,,,サンピロ１％,参天製薬,,134.30,H22.6.30まで,
外用薬,1312701Q2078,ピロカルピン塩酸塩,１％５ｍＬ１瓶,,,アドソルボカルピン点眼液１％,日本点眼薬研究所,後発品,134.30,,
外用薬,1312701Q2086,ピロカルピン塩酸塩,１％５ｍＬ１瓶,,,サンピロ点眼液１％,参天製薬,,134.30,,
外用薬,1312701Q3040,ピロカルピン塩酸塩,２％５ｍＬ１瓶,,,サンピロ２％,参天製薬,,162.20,H22.6.30まで,
外用薬,1312701Q3074,ピロカルピン塩酸塩,２％５ｍＬ１瓶,,,アドソルボカルピン点眼液２％,日本点眼薬研究所,後発品,162.20,,
外用薬,1312701Q3082,ピロカルピン塩酸塩,２％５ｍＬ１瓶,,,サンピロ点眼液２％,参天製薬,,162.20,,
外用薬,1312701Q4020,ピロカルピン塩酸塩,３％５ｍＬ１瓶,,,サンピロ３％,参天製薬,,167.10,H22.6.30まで,
外用薬,1312701Q4046,ピロカルピン塩酸塩,３％５ｍＬ１瓶,,,サンピロ点眼液３％,参天製薬,,167.10,,
外用薬,1312701Q5034,ピロカルピン塩酸塩,４％５ｍＬ１瓶,,,サンピロ４％,参天製薬,,181.70,H22.6.30まで,
外用薬,1312701Q5050,ピロカルピン塩酸塩,４％５ｍＬ１瓶,,,サンピロ点眼液４％,参天製薬,,181.70,,
外用薬,1312704Q1024,ジスチグミン臭化物,０．５％１ｍＬ,,,ウブレチド点眼液０．５％,鳥居薬品,,169.60,,
外用薬,1312704Q2020,ジスチグミン臭化物,１％１ｍＬ,,,ウブレチド点眼液１％,鳥居薬品,,266.40,,
外用薬,1313700Q2070,塩酸オキシブプロカイン,０．４％１ｍＬ,,,ベノキシール点眼液０．４％,参天製薬,,10.60,,
外用薬,1313700Q2089,塩酸オキシブプロカイン,０．４％１ｍＬ,,,ネオベノール点眼液０．４％,日本点眼薬研究所,後発品,8.90,,
外用薬,1313700Q3034,塩酸オキシブプロカイン,０．０５％５ｍＬ１瓶,,,ラクリミン点眼液０．０５％,参天製薬,,109.40,,
外用薬,1314700Q1012,硝酸銀,１％０．５ｍＬ１管,局,,硝酸銀点眼液,,,18.20,,
