区分,薬価基準収載医薬品コード,成分名,規格,品名,,,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,薬価,経過措置による使用期限,備考
内用薬,1124002M1042,塩酸フルラゼパム,１０ｍｇ１カプセル,,,ベノジールカプセル１０,協和発酵キリン,,9.60,,
内用薬,1124002M2022,塩酸フルラゼパム,１５ｍｇ１カプセル,,,ダルメートカプセル１５,共和薬品工業,,11.60,,
内用薬,1124002M2049,塩酸フルラゼパム,１５ｍｇ１カプセル,,,ベノジールカプセル１５,協和発酵キリン,,11.60,,
内用薬,1124003B1070,ニトラゼパム,１％１ｇ,,,ネルボン散１％,第一三共,,18.20,,
内用薬,1124003C1092,ニトラゼパム,１％１ｇ,,,ベンザリン細粒１％,塩野義製薬,,18.70,,
内用薬,1124003C1106,ニトラゼパム,１％１ｇ,,,ネルロレン細粒１％,辰巳化学,後発品,6.20,,
内用薬,1124003F1021,ニトラゼパム,２ｍｇ１錠,,,ベンザリン錠２,塩野義製薬,,6.00,,
内用薬,1124003F2044,ニトラゼパム,５ｍｇ１錠,,,チスボン錠５,鶴原製薬,後発品,5.40,,
内用薬,1124003F2176,ニトラゼパム,５ｍｇ１錠,,,ネルロレン錠「５」,辰巳化学,後発品,5.40,,
内用薬,1124003F2184,ニトラゼパム,５ｍｇ１錠,,,ノイクロニック錠５,大洋薬品工業,後発品,5.40,,
内用薬,1124003F2222,ニトラゼパム,５ｍｇ１錠,,,ベンザリン錠５,塩野義製薬,,11.80,,
内用薬,1124003F2230,ニトラゼパム,５ｍｇ１錠,,,ネルボン錠５ｍｇ,第一三共,,11.80,,
内用薬,1124003F2249,ニトラゼパム,５ｍｇ１錠,,,ニトラゼパム錠５ｍｇ「トーワ」,東和薬品,後発品,5.40,,
内用薬,1124003F2257,ニトラゼパム,５ｍｇ１錠,,,ヒルスカミン錠５ｍｇ,イセイ,後発品,5.40,,
内用薬,1124003F2265,ニトラゼパム,５ｍｇ１錠,,,ニトラゼパム錠５ｍｇ「ＪＧ」,日本ジェネリック,後発品,5.40 ,,H23.11.28収載
内用薬,1124003F3040,ニトラゼパム,１０ｍｇ１錠,,,チスボン錠１０,鶴原製薬,後発品,5.60,,
内用薬,1124003F3083,ニトラゼパム,１０ｍｇ１錠,,,ネルボン錠１０ｍｇ,第一三共,,18.30,,
内用薬,1124003F3091,ニトラゼパム,１０ｍｇ１錠,,,ネルロレン錠「１０」,辰巳化学,後発品,5.60,,
内用薬,1124003F3121,ニトラゼパム,１０ｍｇ１錠,,,ベンザリン錠１０,塩野義製薬,,18.30,,
内用薬,1124003F3156,ニトラゼパム,１０ｍｇ１錠,,,ニトラゼパム錠１０ｍｇ「ＪＧ」,日本ジェネリック,後発品,5.60 ,,H23.11.28収載
内用薬,1124004F1042,ニメタゼパム,３ｍｇ１錠,,,エリミン錠３ｍｇ,大日本住友製薬,,15.20,,
内用薬,1124004F2030,ニメタゼパム,５ｍｇ１錠,,,エリミン錠５ｍｇ,大日本住友製薬,,19.90,,
内用薬,1124005C1032,ハロキサゾラム,１％１ｇ,,,ソメリン細粒１％,第一三共,,29.60,,
内用薬,1124005F1020,ハロキサゾラム,５ｍｇ１錠,,,ソメリン錠５ｍｇ,第一三共,,19.40,,
内用薬,1124005F2027,ハロキサゾラム,１０ｍｇ１錠,,,ソメリン錠１０ｍｇ,第一三共,,29.00,,
内用薬,1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,,,ハルシオン０．１２５ｍｇ錠,ファイザー,,11.20,,
内用薬,1124007F1038,トリアゾラム,０．１２５ｍｇ１錠,,,ハルラック錠０．１２５ｍｇ,富士薬品,後発品,5.80,,
内用薬,1124007F1046,トリアゾラム,０．１２５ｍｇ１錠,,,トリアゾラム錠０．１２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,5.80,,
内用薬,1124007F1054,トリアゾラム,０．１２５ｍｇ１錠,,,パルレオン錠０．１２５ｍｇ,大洋薬品工業,後発品,5.60,,
内用薬,1124007F1062,トリアゾラム,０．１２５ｍｇ１錠,,,ミンザイン錠０．１２５ｍｇ,日医工,後発品,5.60,,
内用薬,1124007F1070,トリアゾラム,０．１２５ｍｇ１錠,,,トリアゾラム錠０．１２５ｍｇ「ＪＧ」,大興製薬,後発品,5.60,,H22.11.19収載
内用薬,1124007F1089,トリアゾラム,０．１２５ｍｇ１錠,,,アスコマーナ錠０．１２５ｍｇ,日新製薬（山形）,後発品,5.60 ,,H23.11.28収載
内用薬,1124007F1097,トリアゾラム,０．１２５ｍｇ１錠,,,トリアゾラム錠０．１２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,5.60 ,,H23.11.28収載
内用薬,1124007F1100,トリアゾラム,０．１２５ｍｇ１錠,,,トリアゾラム錠０．１２５ｍｇ「タナベ」,長生堂製薬,後発品,5.80,,H23.11.28収載
内用薬,1124007F1119,トリアゾラム,０．１２５ｍｇ１錠,,,トリアラム錠０．１２５ｍｇ,小林化工,後発品,5.80,,H23.11.28収載
内用薬,1124007F2026,トリアゾラム,０．２５ｍｇ１錠,,,ハルシオン０．２５ｍｇ錠,ファイザー,,16.00,,
内用薬,1124007F2034,トリアゾラム,０．２５ｍｇ１錠,,,アサシオン０．２５ｍｇ錠,長生堂製薬,後発品,6.50,H24.3.31まで,
内用薬,1124007F2042,トリアゾラム,０．２５ｍｇ１錠,,,アスコマーナ錠０．２５,日新製薬（山形）,後発品,5.60,,
内用薬,1124007F2050,トリアゾラム,０．２５ｍｇ１錠,,,カムリトン０．２５ｍｇ錠,寿製薬,後発品,5.80,,
内用薬,1124007F2093,トリアゾラム,０．２５ｍｇ１錠,,,ネスゲン錠「０．２５」,辰巳化学,後発品,5.60,H24.3.31まで,
内用薬,1124007F2107,トリアゾラム,０．２５ｍｇ１錠,,,ハルラック錠０．２５ｍｇ,富士薬品,後発品,6.50,,
内用薬,1124007F2115,トリアゾラム,０．２５ｍｇ１錠,,,パルレオン錠０．２５ｍｇ,大洋薬品工業,後発品,5.60,,
内用薬,1124007F2158,トリアゾラム,０．２５ｍｇ１錠,,,トリアゾラム錠０．２５ｍｇ「ＴＳＵ」,鶴原製薬,後発品,5.60,,
内用薬,1124007F2166,トリアゾラム,０．２５ｍｇ１錠,,,ミンザイン錠０．２５ｍｇ,日医工,後発品,5.60,,
内用薬,1124007F2174,トリアゾラム,０．２５ｍｇ１錠,,,トリアラム錠０．２５ｍｇ,小林化工,後発品,5.80,,
内用薬,1124007F2182,トリアゾラム,０．２５ｍｇ１錠,,,トリアゾラム錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,5.60,,H22.11.19収載
内用薬,1124007F2190,トリアゾラム,０．２５ｍｇ１錠,,,トリアゾラム錠０．２５ｍｇ「ＥＭＥＣ」,サンノーバ,後発品,6.50,,H23.11.28収載
内用薬,1124007F2204,トリアゾラム,０．２５ｍｇ１錠,,,トリアゾラム錠０．２５ｍｇ「ＴＣＫ」,辰巳化学,後発品,5.60,,H23.11.28収載
内用薬,1124007F2212,トリアゾラム,０．２５ｍｇ１錠,,,トリアゾラム錠０．２５ｍｇ「タナベ」,長生堂製薬,後発品,6.50,,H23.11.28収載
内用薬,1124008F1024,フルニトラゼパム,１ｍｇ１錠,,,サイレース錠１ｍｇ,エーザイ,,16.60,,
内用薬,1124008F1032,フルニトラゼパム,１ｍｇ１錠,,,ロヒプノール錠１,中外製薬,,15.60,,
内用薬,1124008F1040,フルニトラゼパム,１ｍｇ１錠,,,ビビットエース錠１ｍｇ,辰巳化学,後発品,5.60,,
内用薬,1124008F1059,フルニトラゼパム,１ｍｇ１錠,,,フルトラース錠１ｍｇ,シオノケミカル,後発品,5.80,,
内用薬,1124008F1067,フルニトラゼパム,１ｍｇ１錠,,,フルニトラゼパム錠１ｍｇ「アメル」,共和薬品工業,後発品,5.60,,
内用薬,1124008F1075,フルニトラゼパム,１ｍｇ１錠,,,フルニトラゼパム錠１ｍｇ「ＪＧ」,日本ジェネリック,後発品,5.60 ,,H23.11.28収載
内用薬,1124008F2020,フルニトラゼパム,２ｍｇ１錠,,,サイレース錠２ｍｇ,エーザイ,,23.80,,
内用薬,1124008F2039,フルニトラゼパム,２ｍｇ１錠,,,ロヒプノール錠２,中外製薬,,23.10,,
内用薬,1124008F2047,フルニトラゼパム,２ｍｇ１錠,,,フルニトラゼパム錠２ｍｇ「アメル」,共和薬品工業,後発品,7.00,,
内用薬,1124008F2055,フルニトラゼパム,２ｍｇ１錠,,,ビビットエース錠２ｍｇ,辰巳化学,後発品,6.20,,
内用薬,1124008F2063,フルニトラゼパム,２ｍｇ１錠,,,フルトラース錠２ｍｇ,シオノケミカル,後発品,7.20,,H23.11.28収載
内用薬,1124008F2071,フルニトラゼパム,２ｍｇ１錠,,,フルニトラゼパム錠２ｍｇ「ＪＧ」,日本ジェネリック,後発品,6.20 ,,H23.11.28収載
内用薬,1124009F1037,ブロチゾラム,０．２５ｍｇ１錠,,,グッドミン錠０．２５ｍｇ,田辺三菱製薬,後発品,11.90,,
内用薬,1124009F1070,ブロチゾラム,０．２５ｍｇ１錠,,,ノクスタール錠０．２５ｍｇ,アルフレッサファーマ,後発品,12.20,,
内用薬,1124009F1088,ブロチゾラム,０．２５ｍｇ１錠,,,ユリモラン錠,長生堂製薬,後発品,7.30,H22.6.30まで,
内用薬,1124009F1096,ブロチゾラム,０．２５ｍｇ１錠,,,レドルパー錠０．２５ｍｇ,大原薬品工業,後発品,10.00,,
内用薬,1124009F1118,ブロチゾラム,０．２５ｍｇ１錠,,,ロンフルマン錠０．２５ｍｇ,共和薬品工業,後発品,6.70,,
内用薬,1124009F1126,ブロチゾラム,０．２５ｍｇ１錠,,,アムネゾン錠０．２５ｍｇ,日新製薬（山形）,後発品,7.80,,
内用薬,1124009F1150,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラン錠０．２５ｍｇ,日医工,後発品,8.70,,
内用薬,1124009F1185,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラムＭ錠０．２５「ＥＭＥＣ」,サンノーバ,後発品,11.90,,
内用薬,1124009F1193,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラム錠０．２５ｍｇ「ＹＤ」,陽進堂,後発品,6.70,,
内用薬,1124009F1207,ブロチゾラム,０．２５ｍｇ１錠,,,ブロメトン錠０．２５ｍｇ,マイラン製薬,後発品,12.20,,
内用薬,1124009F1215,ブロチゾラム,０．２５ｍｇ１錠,,,ゼストロミン錠０．２５ｍｇ,東和薬品,後発品,8.70,,
内用薬,1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,,,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,29.40,,
内用薬,1124009F1231,ブロチゾラム,０．２５ｍｇ１錠,,,ネストローム錠０．２５ｍｇ,辰巳化学,後発品,7.30,,
内用薬,1124009F1240,ブロチゾラム,０．２５ｍｇ１錠,,,ソレントミン錠０．２５ｍｇ,大正薬品工業,後発品,6.70,,
内用薬,1124009F1258,ブロチゾラム,０．２５ｍｇ１錠,,,ブロゾーム錠０．２５ｍｇ,ニプロファーマ,後発品,8.70,,
内用薬,1124009F1266,ブロチゾラム,０．２５ｍｇ１錠,,,レンデム錠０．２５ｍｇ,メディサ新薬,後発品,11.90,,
内用薬,1124009F1274,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラム錠０．２５ｍｇ「タイヨー」,大洋薬品工業,後発品,7.80,,
内用薬,1124009F1282,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラム錠０．２５ｍｇ「ＣＨ」,長生堂製薬,後発品,7.30,,
内用薬,1124009F1290,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラム錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,6.70,,H22.11.19収載
内用薬,1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,,,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,29.40,,
内用薬,1124009F2041,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラムＯＤ錠０．２５ｍｇ「タイヨー」,大洋薬品工業,後発品,7.80,,
内用薬,1124009F2050,ブロチゾラム,０．２５ｍｇ１錠,,,レンデムＤ錠０．２５ｍｇ,メディサ新薬,後発品,11.90,,
内用薬,1124009F2068,ブロチゾラム,０．２５ｍｇ１錠,,,ブロチゾラムＯＤ錠０．２５ｍｇ「ＪＧ」,大興製薬,後発品,6.70,,H22.11.19収載
内用薬,1124009F3021,ブロチゾラム,０．１２５ｍｇ１錠,,,ブロゾーム錠０．１２５ｍｇ,ニプロファーマ,後発品,5.40,,H22.5.28収載
内用薬,1124010F1021,ロルメタゼパム,１ｍｇ１錠,,,エバミール錠１．０,バイエル薬品,,22.00,,
内用薬,1124010F1030,ロルメタゼパム,１ｍｇ１錠,,,ロラメット錠１．０,あすか製薬,,23.50,,
内用薬,1124013B1031,オキサゾラム,１０％１ｇ,,,セレナール散１０％,第一三共,,44.60,,
内用薬,1124013C1045,オキサゾラム,１０％１ｇ,,,ペルサール細粒,イセイ,後発品,11.00,H22.6.30まで,
内用薬,1124013C1053,オキサゾラム,１０％１ｇ,,,ペルサール細粒１０％,イセイ,後発品,11.00,,
内用薬,1124013F1033,オキサゾラム,５ｍｇ１錠,,,セレナール錠５,第一三共,,5.70,,
内用薬,1124013F2064,オキサゾラム,１０ｍｇ１錠,,,セレナール錠１０,第一三共,,5.90,,
内用薬,1124013F2080,オキサゾラム,１０ｍｇ１錠,,,トッカータ錠１０ｍｇ,共和薬品工業,後発品,5.40,H23.3.31まで,
内用薬,1124013F2110,オキサゾラム,１０ｍｇ１錠,,,ネブスン錠１０ｍｇ,辰巳化学,後発品,5.40,H23.3.31まで,
内用薬,1124013F2129,オキサゾラム,１０ｍｇ１錠,,,ペルサール錠１０ｍｇ,イセイ,後発品,5.40,,
内用薬,1124013F3109,オキサゾラム,２０ｍｇ１錠,,,ペルサール錠２０ｍｇ,イセイ,後発品,5.60,,
内用薬,1124014B1036,クロキサゾラム,１％１ｇ,,,セパゾン散１％,第一三共,,26.90,,
内用薬,1124014F1038,クロキサゾラム,１ｍｇ１錠,,,セパゾン錠１,第一三共,,5.70,,
内用薬,1124014F2034,クロキサゾラム,２ｍｇ１錠,,,セパゾン錠２,第一三共,,6.00,,
内用薬,1124015M2020,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,メンドン７．５ｍｇ,アボットジャパン,,11.70,H22.6.30まで,
内用薬,1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,メンドンカプセル７．５ｍｇ,アボットジャパン,,11.70,,
内用薬,1124017B1129,ジアゼパム,１％１ｇ,,,セルシン散１％,武田薬品工業,,18.70,,
内用薬,1124017B1137,ジアゼパム,１％１ｇ,,,ジアゼパム散１％「アメル」,共和薬品工業,後発品,6.20,,
内用薬,1124017B1145,ジアゼパム,１％１ｇ,,,ホリゾン散１％,アステラス製薬,,17.00,,
内用薬,1124017B1153,ジアゼパム,１％１ｇ,,,リリバー散１％,マイラン製薬,後発品,6.20,H24.3.31まで,
内用薬,1124017B1161,ジアゼパム,１％１ｇ,,,リリーゼン散１％,日医工ファーマ,後発品,6.20,H23.3.31まで,
内用薬,1124017B1170,ジアゼパム,１％１ｇ,,,パールキット散１％,ニプロファーマ,後発品,6.20,,
内用薬,1124017F2046,ジアゼパム,２ｍｇ１錠,,,ジアゼパム錠２「サワイ」,沢井製薬,後発品,5.60,,
内用薬,1124017F2054,ジアゼパム,２ｍｇ１錠,,,ジアゼパム錠２「トーワ」,東和薬品,後発品,5.60,,
内用薬,1124017F2089,ジアゼパム,２ｍｇ１錠,,,ジアパックス錠２ｍｇ,大鵬薬品工業,後発品,5.60,,
内用薬,1124017F2097,ジアゼパム,２ｍｇ１錠,,,セエルカム錠２,鶴原製薬,後発品,5.60,,
内用薬,1124017F2100,ジアゼパム,２ｍｇ１錠,,,セレナミン錠２ｍｇ,旭化成ファーマ,後発品,5.60,,
内用薬,1124017F2135,ジアゼパム,２ｍｇ１錠,,,２ｍｇセルシン錠,武田薬品工業,,5.90,,
内用薬,1124017F2143,ジアゼパム,２ｍｇ１錠,,,パールキット錠２ｍｇ,ニプロファーマ,後発品,5.60,,
内用薬,1124017F2151,ジアゼパム,２ｍｇ１錠,,,ホリゾン錠２ｍｇ,アステラス製薬,,5.90,,
内用薬,1124017F2160,ジアゼパム,２ｍｇ１錠,,,リリーゼン錠２ｍｇ,日医工ファーマ,後発品,5.60,H23.3.31まで,
内用薬,1124017F2194,ジアゼパム,２ｍｇ１錠,,,ジアゼパム錠２ｍｇ「アメル」,共和薬品工業,後発品,5.60,,
内用薬,1124017F2208,ジアゼパム,２ｍｇ１錠,,,リリバー錠２ｍｇ,マイラン製薬,後発品,5.90,H23.3.31まで,
内用薬,1124017F4049,ジアゼパム,５ｍｇ１錠,,,５ｍｇセルシン錠,武田薬品工業,,9.20,,
内用薬,1124017F4065,ジアゼパム,５ｍｇ１錠,,,ジアゼパム錠５「トーワ」,東和薬品,後発品,5.60,,
内用薬,1124017F4090,ジアゼパム,５ｍｇ１錠,,,ジアパックス錠５ｍｇ,大鵬薬品工業,後発品,5.70,,
内用薬,1124017F4103,ジアゼパム,５ｍｇ１錠,,,セエルカム錠５,鶴原製薬,後発品,5.60,,
内用薬,1124017F4111,ジアゼパム,５ｍｇ１錠,,,セレナミン錠５ｍｇ,旭化成ファーマ,後発品,5.60,,
内用薬,1124017F4154,ジアゼパム,５ｍｇ１錠,,,パールキット錠５ｍｇ,ニプロファーマ,後発品,5.60,,
内用薬,1124017F4162,ジアゼパム,５ｍｇ１錠,,,ホリゾン錠５ｍｇ,アステラス製薬,,9.20,,
内用薬,1124017F4200,ジアゼパム,５ｍｇ１錠,,,ジアゼパム錠５ｍｇ「アメル」,共和薬品工業,後発品,5.60,,
内用薬,1124017F5037,ジアゼパム,１０ｍｇ１錠,,,１０ｍｇセルシン錠,武田薬品工業,,19.20,,
内用薬,1124017F5045,ジアゼパム,１０ｍｇ１錠,,,セエルカム錠１０,鶴原製薬,後発品,5.60,,
内用薬,1124017Q1032,ジアゼパム,０．１％１ｍＬ,,,セルシンシロップ０．１％,武田薬品工業,,18.40,,
内用薬,1124018F1028,プラゼパム,５ｍｇ１錠,局,,セダプランコーワ錠５,興和,,9.60,H24.3.31まで,
内用薬,1124018F2024,プラゼパム,１０ｍｇ１錠,局,,セダプランコーワ錠１０,興和,,16.30,H24.3.31まで,
内用薬,1124019C1034,フルジアゼパム,０．１％１ｇ,,,エリスパン細粒０．１％,大日本住友製薬,,27.90,,
内用薬,1124019F1030,フルジアゼパム,０．２５ｍｇ１錠,,,エリスパン錠０．２５ｍｇ,大日本住友製薬,,9.10,,
内用薬,1124020C1045,ブロマゼパム,１％１ｇ,,,レキソタン細粒１％,中外製薬,,31.20,,
内用薬,1124020C1053,ブロマゼパム,１％１ｇ,,,セニラン細粒１％,サンド,後発品,27.50,,
内用薬,1124020F1025,ブロマゼパム,１ｍｇ１錠,,,レキソタン錠１,中外製薬,,5.60,,
内用薬,1124020F1033,ブロマゼパム,１ｍｇ１錠,,,セニラン錠１ｍｇ,サンド,後発品,3.90,,H23.11.28収載
内用薬,1124020F2021,ブロマゼパム,２ｍｇ１錠,,,セニラン錠２,サンド,後発品,5.60,H22.6.30まで,
内用薬,1124020F2030,ブロマゼパム,２ｍｇ１錠,,,レキソタン錠２,中外製薬,,6.60,,
内用薬,1124020F2048,ブロマゼパム,２ｍｇ１錠,,,セニラン錠２ｍｇ,サンド,後発品,5.60,,
内用薬,1124020F3028,ブロマゼパム,３ｍｇ１錠,,,セニラン錠３,サンド,後発品,6.50,H22.6.30まで,
内用薬,1124020F3036,ブロマゼパム,３ｍｇ１錠,,,セニラン錠３ｍｇ,サンド,後発品,6.50,,
内用薬,1124020F4024,ブロマゼパム,５ｍｇ１錠,,,セニラン錠５,サンド,後発品,9.00,H22.6.30まで,
内用薬,1124020F4032,ブロマゼパム,５ｍｇ１錠,,,レキソタン錠５,中外製薬,,15.50,,
内用薬,1124020F4040,ブロマゼパム,５ｍｇ１錠,,,セニラン錠５ｍｇ,サンド,後発品,9.00,,
内用薬,1124021C1031,メダゼパム,１％１ｇ,,,パムネース細粒,東邦新薬,後発品,6.20,,
内用薬,1124021F1038,メダゼパム,２ｍｇ１錠,,,パムネース錠２,東邦新薬,後発品,5.60,,
内用薬,1124021F1046,メダゼパム,２ｍｇ１錠,,,メダゼパム錠２（ツルハラ）,鶴原製薬,後発品,5.60,,
内用薬,1124021F1054,メダゼパム,２ｍｇ１錠,,,レスミット錠２,塩野義製薬,,5.60,,
内用薬,1124021F2115,メダゼパム,５ｍｇ１錠,,,パムネース錠５,東邦新薬,後発品,5.60,,
内用薬,1124021F2123,メダゼパム,５ｍｇ１錠,,,メダゼパム錠５（ツルハラ）,鶴原製薬,後発品,5.60,,
内用薬,1124021F2166,メダゼパム,５ｍｇ１錠,,,レスミット錠５,塩野義製薬,,5.70,,
内用薬,1124022F1024,ロラゼパム,０．５ｍｇ１錠,,,アズロゲン錠０．５,高田製薬,後発品,5.00,H24.3.31まで,
内用薬,1124022F1067,ロラゼパム,０．５ｍｇ１錠,,,ワイパックス錠０．５,ファイザー,,6.70,,
内用薬,1124022F1075,ロラゼパム,０．５ｍｇ１錠,,,ユーパン錠０．５ｍｇ,沢井製薬,後発品,5.00,,
内用薬,1124022F2071,ロラゼパム,１ｍｇ１錠,,,ワイパックス錠１．０,ファイザー,,12.20,,
内用薬,1124022F2080,ロラゼパム,１ｍｇ１錠,,,アズロゲン錠１．０,高田製薬,後発品,5.60,H24.3.31まで,
内用薬,1124022F2101,ロラゼパム,１ｍｇ１錠,,,ユーパン錠１．０ｍｇ,沢井製薬,後発品,5.60,,
内用薬,1124023F1029,アルプラゾラム,０．４ｍｇ１錠,,,コンスタン０．４ｍｇ錠,武田薬品工業,,10.40,,
内用薬,1124023F1037,アルプラゾラム,０．４ｍｇ１錠,,,ソラナックス０．４ｍｇ錠,ファイザー,,10.10,,
内用薬,1124023F1053,アルプラゾラム,０．４ｍｇ１錠,,,メデポリン錠０．４,メディサ新薬,後発品,5.60,,
内用薬,1124023F1088,アルプラゾラム,０．４ｍｇ１錠,,,アゾリタン錠０．４,大洋薬品工業,後発品,5.60,,
内用薬,1124023F1096,アルプラゾラム,０．４ｍｇ１錠,,,カームダン錠０．４ｍｇ,共和薬品工業,後発品,5.60,,
内用薬,1124023F1100,アルプラゾラム,０．４ｍｇ１錠,,,アルプラゾラム錠０．４ｍｇ「トーワ」,東和薬品,後発品,5.60,,
内用薬,1124023F2025,アルプラゾラム,０．８ｍｇ１錠,,,コンスタン０．８ｍｇ錠,武田薬品工業,,17.20,,
内用薬,1124023F2033,アルプラゾラム,０．８ｍｇ１錠,,,ソラナックス０．８ｍｇ錠,ファイザー,,17.20,,
内用薬,1124023F2041,アルプラゾラム,０．８ｍｇ１錠,,,カームダン錠０．８ｍｇ,共和薬品工業,後発品,9.40,,H22.5.28収載
内用薬,1124023F2050,アルプラゾラム,０．８ｍｇ１錠,,,アルプラゾラム錠０．８ｍｇ「トーワ」,東和薬品,後発品,9.40,,H22.11.19収載
内用薬,1124023F2068,アルプラゾラム,０．８ｍｇ１錠,,,メデポリン錠０．８,メディサ新薬,後発品,9.40,,H22.11.19収載
内用薬,1124024C1035,フルタゾラム,１％１ｇ,,,コレミナール細粒１％,沢井製薬,,19.40,,
内用薬,1124024F1031,フルタゾラム,４ｍｇ１錠,,,コレミナール錠４ｍｇ,沢井製薬,,9.70,,
内用薬,1124025C1030,メキサゾラム,０．１％１ｇ,,,メレックス細粒０．１％,第一三共,,14.00,,
内用薬,1124025F1028,メキサゾラム,０．５ｍｇ１錠,,,メレックス錠０．５ｍｇ,第一三共,,7.50,,
内用薬,1124025F2024,メキサゾラム,１ｍｇ１錠,,,メレックス錠１ｍｇ,第一三共,,13.90,,
内用薬,1124026C1034,トフィソパム,１０％１ｇ,,,エマンダキシン細粒,長生堂製薬,後発品,10.50,H22.6.30まで,
内用薬,1124026C1077,トフィソパム,１０％１ｇ,,,ツルベール細粒,鶴原製薬,後発品,10.50,H22.6.30まで,
内用薬,1124026C1085,トフィソパム,１０％１ｇ,,,グランダキシン細粒１０％,持田製薬,,30.70,,
内用薬,1124026C1093,トフィソパム,１０％１ｇ,,,ツルベール細粒１０％,鶴原製薬,後発品,10.50,,
内用薬,1124026C1107,トフィソパム,１０％１ｇ,,,トフィソパム細粒１０％「ＣＨ」,長生堂製薬,後発品,10.50,,
内用薬,1124026F1022,トフィソパム,５０ｍｇ１錠,,,グランダキシン錠５０,持田製薬,,17.10,,
内用薬,1124026F1030,トフィソパム,５０ｍｇ１錠,,,エマンダキシン錠５０ｍｇ,長生堂製薬,後発品,5.60,,
内用薬,1124026F1049,トフィソパム,５０ｍｇ１錠,,,クラソパン錠５０ｍｇ,日本ジェネリック,後発品,5.60,,
内用薬,1124026F1111,トフィソパム,５０ｍｇ１錠,,,トフィルシン錠５０,シオノケミカル,後発品,6.00,,
内用薬,1124026F1120,トフィソパム,５０ｍｇ１錠,,,トルバナシン錠５０,大正薬品工業,後発品,5.70,,
内用薬,1124026F1219,トフィソパム,５０ｍｇ１錠,,,グランパム錠５０ｍｇ,東和薬品,後発品,5.70,,
内用薬,1124026F1227,トフィソパム,５０ｍｇ１錠,,,ハイミジン錠５０ｍｇ,ニプロジェネファ,後発品,5.70,,
